기준년월,기초지자체,방문자 구분,방문자 수
202406,강북구,외지인방문자(b),2647323.0
202406,강북구,전체방문자(a+b),6118206.0
202406,강북구,현지인방문자(a),3470884.0
202407,강북구,외지인방문자(b),2610346.0
202407,강북구,전체방문자(a+b),6105015.0
202407,강북구,현지인방문자(a),3494670.0
202408,강북구,외지인방문자(b),2780337.0
202408,강북구,전체방문자(a+b),6409732.0
202408,강북구,현지인방문자(a),3629395.0
202409,강북구,외지인방문자(b),2855251.0
202409,강북구,전체방문자(a+b),6483620.0
202409,강북구,현지인방문자(a),3628370.0
202410,강북구,외지인방문자(b),3026992.0
202410,강북구,전체방문자(a+b),7545594.0
202410,강북구,현지인방문자(a),4518602.0
202411,강북구,외지인방문자(b),2809510.0
202411,강북구,전체방문자(a+b),7066318.0
202411,강북구,현지인방문자(a),4256808.0
202412,강북구,외지인방문자(b),2769490.0
202412,강북구,전체방문자(a+b),6928530.0
202412,강북구,현지인방문자(a),4159040.0
202501,강북구,외지인방문자(b),2768780.0
202501,강북구,전체방문자(a+b),6767764.0
202501,강북구,현지인방문자(a),3998984.0
202502,강북구,외지인방문자(b),2485098.0
202502,강북구,전체방문자(a+b),6184406.0
202502,강북구,현지인방문자(a),3699308.0
202503,강북구,외지인방문자(b),3108728.0
202503,강북구,전체방문자(a+b),7212814.0
202503,강북구,현지인방문자(a),4104086.0
202504,강북구,외지인방문자(b),2733938.0
202504,강북구,전체방문자(a+b),6785502.0
202504,강북구,현지인방문자(a),4051565.0
202505,강북구,외지인방문자(b),3236810.0
202505,강북구,전체방문자(a+b),7593313.0
202505,강북구,현지인방문자(a),4356502.0
