기준년월,기초지자체,방문자 구분,방문자 수
202406,수성구,외지인방문자(b),4126692.0
202406,수성구,전체방문자(a+b),1.1096396E7
202406,수성구,현지인방문자(a),6969704.0
202407,수성구,외지인방문자(b),4238020.0
202407,수성구,전체방문자(a+b),1.1284798E7
202407,수성구,현지인방문자(a),7046778.0
202408,수성구,외지인방문자(b),4095777.0
202408,수성구,전체방문자(a+b),1.0905276E7
202408,수성구,현지인방문자(a),6809498.0
202409,수성구,외지인방문자(b),4450050.0
202409,수성구,전체방문자(a+b),1.1223968E7
202409,수성구,현지인방문자(a),6773918.0
202410,수성구,외지인방문자(b),4183347.0
202410,수성구,전체방문자(a+b),1.1414116E7
202410,수성구,현지인방문자(a),7230769.0
202411,수성구,외지인방문자(b),4040988.0
202411,수성구,전체방문자(a+b),1.1209426E7
202411,수성구,현지인방문자(a),7168438.0
202412,수성구,외지인방문자(b),4293264.0
202412,수성구,전체방문자(a+b),1.164407E7
202412,수성구,현지인방문자(a),7350805.0
202501,수성구,외지인방문자(b),4343619.0
202501,수성구,전체방문자(a+b),1.1457901E7
202501,수성구,현지인방문자(a),7114282.0
202502,수성구,외지인방문자(b),3751682.0
202502,수성구,전체방문자(a+b),1.0316716E7
202502,수성구,현지인방문자(a),6565034.0
202503,수성구,외지인방문자(b),4513996.0
202503,수성구,전체방문자(a+b),1.1725399E7
202503,수성구,현지인방문자(a),7211404.0
202504,수성구,외지인방문자(b),4080251.0
202504,수성구,전체방문자(a+b),1.1202653E7
202504,수성구,현지인방문자(a),7122402.0
202505,수성구,외지인방문자(b),4808790.0
202505,수성구,전체방문자(a+b),1.2293194E7
202505,수성구,현지인방문자(a),7484404.0
