기준년월,기초지자체,방문자 구분,방문자 수
202406,중구,외지인방문자(b),8548340.0
202406,중구,전체방문자(a+b),1.2391558E7
202406,중구,현지인방문자(a),3843217.0
202407,중구,외지인방문자(b),8522762.0
202407,중구,전체방문자(a+b),1.2476828E7
202407,중구,현지인방문자(a),3954066.0
202408,중구,외지인방문자(b),9056982.0
202408,중구,전체방문자(a+b),1.2874026E7
202408,중구,현지인방문자(a),3817044.0
202409,중구,외지인방문자(b),8885916.0
202409,중구,전체방문자(a+b),1.2634342E7
202409,중구,현지인방문자(a),3748426.0
202410,중구,외지인방문자(b),8894302.0
202410,중구,전체방문자(a+b),1.2927698E7
202410,중구,현지인방문자(a),4033396.0
202411,중구,외지인방문자(b),8133604.0
202411,중구,전체방문자(a+b),1.196875E7
202411,중구,현지인방문자(a),3835146.0
202412,중구,외지인방문자(b),8590015.0
202412,중구,전체방문자(a+b),1.2477728E7
202412,중구,현지인방문자(a),3887712.0
202501,중구,외지인방문자(b),9042800.0
202501,중구,전체방문자(a+b),1.2778812E7
202501,중구,현지인방문자(a),3736012.0
202502,중구,외지인방문자(b),7996226.0
202502,중구,전체방문자(a+b),1.1492464E7
202502,중구,현지인방문자(a),3496238.0
202503,중구,외지인방문자(b),8447425.0
202503,중구,전체방문자(a+b),1.2282718E7
202503,중구,현지인방문자(a),3835293.0
202504,중구,외지인방문자(b),7518427.0
202504,중구,전체방문자(a+b),1.1353926E7
202504,중구,현지인방문자(a),3835500.0
202505,중구,외지인방문자(b),9083543.0
202505,중구,전체방문자(a+b),1.3177899E7
202505,중구,현지인방문자(a),4094356.0
