기준년월,기초지자체,방문자 구분,방문자 수
202406,연수구,외지인방문자(b),3966284.0
202406,연수구,전체방문자(a+b),1.0985622E7
202406,연수구,현지인방문자(a),7019338.0
202407,연수구,외지인방문자(b),3991001.0
202407,연수구,전체방문자(a+b),1.1059828E7
202407,연수구,현지인방문자(a),7068828.0
202408,연수구,외지인방문자(b),4293198.0
202408,연수구,전체방문자(a+b),1.1283846E7
202408,연수구,현지인방문자(a),6990648.0
202409,연수구,외지인방문자(b),4301776.0
202409,연수구,전체방문자(a+b),1.1162456E7
202409,연수구,현지인방문자(a),6860679.0
202410,연수구,외지인방문자(b),4208978.0
202410,연수구,전체방문자(a+b),1.1568368E7
202410,연수구,현지인방문자(a),7359390.0
202411,연수구,외지인방문자(b),3859058.0
202411,연수구,전체방문자(a+b),1.1065092E7
202411,연수구,현지인방문자(a),7206034.0
202412,연수구,외지인방문자(b),3994186.0
202412,연수구,전체방문자(a+b),1.1252146E7
202412,연수구,현지인방문자(a),7257960.0
202501,연수구,외지인방문자(b),3888395.0
202501,연수구,전체방문자(a+b),1.082355E7
202501,연수구,현지인방문자(a),6935156.0
202502,연수구,외지인방문자(b),3577626.0
202502,연수구,전체방문자(a+b),1.0087018E7
202502,연수구,현지인방문자(a),6509391.0
202503,연수구,외지인방문자(b),4575193.0
202503,연수구,전체방문자(a+b),1.1784283E7
202503,연수구,현지인방문자(a),7209090.0
202504,연수구,외지인방문자(b),3776994.0
202504,연수구,전체방문자(a+b),1.094471E7
202504,연수구,현지인방문자(a),7167716.0
202505,연수구,외지인방문자(b),4623840.0
202505,연수구,전체방문자(a+b),1.227989E7
202505,연수구,현지인방문자(a),7656050.0
