기준년월,기초지자체,방문자 구분,방문자 수
202406,미추홀구,외지인방문자(b),3704967.0
202406,미추홀구,전체방문자(a+b),9597830.0
202406,미추홀구,현지인방문자(a),5892862.0
202407,미추홀구,외지인방문자(b),3821136.0
202407,미추홀구,전체방문자(a+b),9852612.0
202407,미추홀구,현지인방문자(a),6031476.0
202408,미추홀구,외지인방문자(b),3744006.0
202408,미추홀구,전체방문자(a+b),9471686.0
202408,미추홀구,현지인방문자(a),5727680.0
202409,미추홀구,외지인방문자(b),3998810.0
202409,미추홀구,전체방문자(a+b),9742834.0
202409,미추홀구,현지인방문자(a),5744025.0
202410,미추홀구,외지인방문자(b),3716486.0
202410,미추홀구,전체방문자(a+b),9800203.0
202410,미추홀구,현지인방문자(a),6083718.0
202411,미추홀구,외지인방문자(b),3515995.0
202411,미추홀구,전체방문자(a+b),9372926.0
202411,미추홀구,현지인방문자(a),5856932.0
202412,미추홀구,외지인방문자(b),3616826.0
202412,미추홀구,전체방문자(a+b),9647040.0
202412,미추홀구,현지인방문자(a),6030213.0
202501,미추홀구,외지인방문자(b),3664052.0
202501,미추홀구,전체방문자(a+b),9558087.0
202501,미추홀구,현지인방문자(a),5894035.0
202502,미추홀구,외지인방문자(b),3275696.0
202502,미추홀구,전체방문자(a+b),8716158.0
202502,미추홀구,현지인방문자(a),5440463.0
202503,미추홀구,외지인방문자(b),4436848.0
202503,미추홀구,전체방문자(a+b),1.0560406E7
202503,미추홀구,현지인방문자(a),6123558.0
202504,미추홀구,외지인방문자(b),3645887.0
202504,미추홀구,전체방문자(a+b),9664666.0
202504,미추홀구,현지인방문자(a),6018778.0
202505,미추홀구,외지인방문자(b),4235168.0
202505,미추홀구,전체방문자(a+b),1.07021E7
202505,미추홀구,현지인방문자(a),6466932.0
