기준년월,기초지자체,방문자 구분,방문자 수
202406,동구,외지인방문자(b),2604536.0
202406,동구,전체방문자(a+b),4793268.0
202406,동구,현지인방문자(a),2188732.0
202407,동구,외지인방문자(b),2672551.0
202407,동구,전체방문자(a+b),4893007.0
202407,동구,현지인방문자(a),2220456.0
202408,동구,외지인방문자(b),2630579.0
202408,동구,전체방문자(a+b),4770882.0
202408,동구,현지인방문자(a),2140302.0
202409,동구,외지인방문자(b),2855794.0
202409,동구,전체방문자(a+b),4961064.0
202409,동구,현지인방문자(a),2105271.0
202410,동구,외지인방문자(b),2894689.0
202410,동구,전체방문자(a+b),5149382.0
202410,동구,현지인방문자(a),2254693.0
202411,동구,외지인방문자(b),2655460.0
202411,동구,전체방문자(a+b),4869588.0
202411,동구,현지인방문자(a),2214128.0
202412,동구,외지인방문자(b),2783900.0
202412,동구,전체방문자(a+b),5022846.0
202412,동구,현지인방문자(a),2238946.0
202501,동구,외지인방문자(b),2672100.0
202501,동구,전체방문자(a+b),4737470.0
202501,동구,현지인방문자(a),2065371.0
202502,동구,외지인방문자(b),2488364.0
202502,동구,전체방문자(a+b),4438042.0
202502,동구,현지인방문자(a),1949678.0
202503,동구,외지인방문자(b),3076090.0
202503,동구,전체방문자(a+b),5208612.0
202503,동구,현지인방문자(a),2132522.0
202504,동구,외지인방문자(b),2577698.0
202504,동구,전체방문자(a+b),4709372.0
202504,동구,현지인방문자(a),2131675.0
202505,동구,외지인방문자(b),3139742.0
202505,동구,전체방문자(a+b),5466650.0
202505,동구,현지인방문자(a),2326908.0
