기준년월,기초지자체,방문자 구분,방문자 수
202406,종로구,외지인방문자(b),1.1169854E7
202406,종로구,전체방문자(a+b),1.5806952E7
202406,종로구,현지인방문자(a),4637098.0
202407,종로구,외지인방문자(b),1.0860056E7
202407,종로구,전체방문자(a+b),1.5618561E7
202407,종로구,현지인방문자(a),4758506.0
202408,종로구,외지인방문자(b),1.06052E7
202408,종로구,전체방문자(a+b),1.5021657E7
202408,종로구,현지인방문자(a),4416458.0
202409,종로구,외지인방문자(b),1.1367321E7
202409,종로구,전체방문자(a+b),1.584156E7
202409,종로구,현지인방문자(a),4474239.0
202410,종로구,외지인방문자(b),1.2979435E7
202410,종로구,전체방문자(a+b),1.7853262E7
202410,종로구,현지인방문자(a),4873827.0
202411,종로구,외지인방문자(b),1.1763409E7
202411,종로구,전체방문자(a+b),1.644553E7
202411,종로구,현지인방문자(a),4682122.0
202412,종로구,외지인방문자(b),1.1797352E7
202412,종로구,전체방문자(a+b),1.6563348E7
202412,종로구,현지인방문자(a),4765996.0
202501,종로구,외지인방문자(b),1.0435054E7
202501,종로구,전체방문자(a+b),1.4754414E7
202501,종로구,현지인방문자(a),4319360.0
202502,종로구,외지인방문자(b),1.0636234E7
202502,종로구,전체방문자(a+b),1.4812665E7
202502,종로구,현지인방문자(a),4176431.0
202503,종로구,외지인방문자(b),1.3247028E7
202503,종로구,전체방문자(a+b),1.7732295E7
202503,종로구,현지인방문자(a),4485268.0
202504,종로구,외지인방문자(b),1.1936438E7
202504,종로구,전체방문자(a+b),1.6596041E7
202504,종로구,현지인방문자(a),4659602.0
202505,종로구,외지인방문자(b),1.349377E7
202505,종로구,전체방문자(a+b),1.8445934E7
202505,종로구,현지인방문자(a),4952164.0
