기준년월,기초지자체,방문자 구분,방문자 수
202406,유성구,외지인방문자(b),4976797.0
202406,유성구,전체방문자(a+b),1.2473475E7
202406,유성구,현지인방문자(a),7496678.0
202407,유성구,외지인방문자(b),4991014.0
202407,유성구,전체방문자(a+b),1.2549128E7
202407,유성구,현지인방문자(a),7558114.0
202408,유성구,외지인방문자(b),4958128.0
202408,유성구,전체방문자(a+b),1.2166382E7
202408,유성구,현지인방문자(a),7208254.0
202409,유성구,외지인방문자(b),5332964.0
202409,유성구,전체방문자(a+b),1.2482732E7
202409,유성구,현지인방문자(a),7149768.0
202410,유성구,외지인방문자(b),5253510.0
202410,유성구,전체방문자(a+b),1.2850282E7
202410,유성구,현지인방문자(a),7596771.0
202411,유성구,외지인방문자(b),5112674.0
202411,유성구,전체방문자(a+b),1.2730312E7
202411,유성구,현지인방문자(a),7617638.0
202412,유성구,외지인방문자(b),5038383.0
202412,유성구,전체방문자(a+b),1.281209E7
202412,유성구,현지인방문자(a),7773706.0
202501,유성구,외지인방문자(b),4872105.0
202501,유성구,전체방문자(a+b),1.2091884E7
202501,유성구,현지인방문자(a),7219779.0
202502,유성구,외지인방문자(b),4623412.0
202502,유성구,전체방문자(a+b),1.1415982E7
202502,유성구,현지인방문자(a),6792569.0
202503,유성구,외지인방문자(b),5664480.0
202503,유성구,전체방문자(a+b),1.2984265E7
202503,유성구,현지인방문자(a),7319784.0
202504,유성구,외지인방문자(b),4892772.0
202504,유성구,전체방문자(a+b),1.2242024E7
202504,유성구,현지인방문자(a),7349251.0
202505,유성구,외지인방문자(b),5801506.0
202505,유성구,전체방문자(a+b),1.3622812E7
202505,유성구,현지인방문자(a),7821306.0
