기준년월,기초지자체,방문자 구분,방문자 수
202406,남구,외지인방문자(b),3710189.0
202406,남구,전체방문자(a+b),9547192.0
202406,남구,현지인방문자(a),5837002.0
202407,남구,외지인방문자(b),3718620.0
202407,남구,전체방문자(a+b),9646812.0
202407,남구,현지인방문자(a),5928192.0
202408,남구,외지인방문자(b),3641015.0
202408,남구,전체방문자(a+b),9323800.0
202408,남구,현지인방문자(a),5682786.0
202409,남구,외지인방문자(b),3765321.0
202409,남구,전체방문자(a+b),9414520.0
202409,남구,현지인방문자(a),5649200.0
202410,남구,외지인방문자(b),4022998.0
202410,남구,전체방문자(a+b),1.0222586E7
202410,남구,현지인방문자(a),6199588.0
202411,남구,외지인방문자(b),3955578.0
202411,남구,전체방문자(a+b),1.0080091E7
202411,남구,현지인방문자(a),6124514.0
202412,남구,외지인방문자(b),3990018.0
202412,남구,전체방문자(a+b),1.0375844E7
202412,남구,현지인방문자(a),6385827.0
202501,남구,외지인방문자(b),3968240.0
202501,남구,전체방문자(a+b),1.0038276E7
202501,남구,현지인방문자(a),6070036.0
202502,남구,외지인방문자(b),3575526.0
202502,남구,전체방문자(a+b),9243230.0
202502,남구,현지인방문자(a),5667704.0
202503,남구,외지인방문자(b),4125692.0
202503,남구,전체방문자(a+b),1.0306639E7
202503,남구,현지인방문자(a),6180948.0
202504,남구,외지인방문자(b),3718057.0
202504,남구,전체방문자(a+b),9835906.0
202504,남구,현지인방문자(a),6117850.0
202505,남구,외지인방문자(b),4399073.0
202505,남구,전체방문자(a+b),1.0828286E7
202505,남구,현지인방문자(a),6429213.0
