기준년월,기초지자체,방문자 구분,방문자 수
202406,가평군,외지인방문자(b),2541714.0
202406,가평군,전체방문자(a+b),3827089.0
202406,가평군,현지인방문자(a),1285375.0
202407,가평군,외지인방문자(b),2482872.0
202407,가평군,전체방문자(a+b),3821503.0
202407,가평군,현지인방문자(a),1338631.0
202408,가평군,외지인방문자(b),3510070.0
202408,가평군,전체방문자(a+b),4849376.0
202408,가평군,현지인방문자(a),1339306.0
202409,가평군,외지인방문자(b),2341668.0
202409,가평군,전체방문자(a+b),3666950.0
202409,가평군,현지인방문자(a),1325282.0
202410,가평군,외지인방문자(b),2342326.0
202410,가평군,전체방문자(a+b),3753348.0
202410,가평군,현지인방문자(a),1411022.0
202411,가평군,외지인방문자(b),2001727.0
202411,가평군,전체방문자(a+b),3354530.0
202411,가평군,현지인방문자(a),1352802.0
202412,가평군,외지인방문자(b),1467302.0
202412,가평군,전체방문자(a+b),2784369.0
202412,가평군,현지인방문자(a),1317068.0
202501,가평군,외지인방문자(b),1607064.0
202501,가평군,전체방문자(a+b),2848629.0
202501,가평군,현지인방문자(a),1241566.0
202502,가평군,외지인방문자(b),1330686.0
202502,가평군,전체방문자(a+b),2487674.0
202502,가평군,현지인방문자(a),1156988.0
202503,가평군,외지인방문자(b),1825943.0
202503,가평군,전체방문자(a+b),3147221.0
202503,가평군,현지인방문자(a),1321278.0
202504,가평군,외지인방문자(b),1983597.0
202504,가평군,전체방문자(a+b),3296674.0
202504,가평군,현지인방문자(a),1313078.0
202505,가평군,외지인방문자(b),2669569.0
202505,가평군,전체방문자(a+b),4077048.0
202505,가평군,현지인방문자(a),1407480.0
