기준년월,기초지자체,방문자 구분,방문자 수
202406,고양시,외지인방문자(b),1.148589E7
202406,고양시,전체방문자(a+b),2.734788E7
202406,고양시,현지인방문자(a),1.586199E7
202407,고양시,외지인방문자(b),1.1842425E7
202407,고양시,전체방문자(a+b),2.7889656E7
202407,고양시,현지인방문자(a),1.604723E7
202408,고양시,외지인방문자(b),1.2055824E7
202408,고양시,전체방문자(a+b),2.826193E7
202408,고양시,현지인방문자(a),1.6206106E7
202409,고양시,외지인방문자(b),1.1921318E7
202409,고양시,전체방문자(a+b),2.8160804E7
202409,고양시,현지인방문자(a),1.6239486E7
202410,고양시,외지인방문자(b),1.2395103E7
202410,고양시,전체방문자(a+b),2.978758E7
202410,고양시,현지인방문자(a),1.7392476E7
202411,고양시,외지인방문자(b),1.1385826E7
202411,고양시,전체방문자(a+b),2.813425E7
202411,고양시,현지인방문자(a),1.6748424E7
202412,고양시,외지인방문자(b),1.1566636E7
202412,고양시,전체방문자(a+b),2.8550176E7
202412,고양시,현지인방문자(a),1.698354E7
202501,고양시,외지인방문자(b),1.1360489E7
202501,고양시,전체방문자(a+b),2.7734788E7
202501,고양시,현지인방문자(a),1.6374298E7
202502,고양시,외지인방문자(b),1.0315288E7
202502,고양시,전체방문자(a+b),2.550778E7
202502,고양시,현지인방문자(a),1.5192492E7
202503,고양시,외지인방문자(b),1.2565546E7
202503,고양시,전체방문자(a+b),2.9492764E7
202503,고양시,현지인방문자(a),1.6927218E7
202504,고양시,외지인방문자(b),1.1785662E7
202504,고양시,전체방문자(a+b),2.8542556E7
202504,고양시,현지인방문자(a),1.6756894E7
202505,고양시,외지인방문자(b),1.3577252E7
202505,고양시,전체방문자(a+b),3.1352324E7
202505,고양시,현지인방문자(a),1.7775072E7
