기준년월,기초지자체,방문자 구분,방문자 수
202406,파주시,외지인방문자(b),4212716.0
202406,파주시,전체방문자(a+b),1.1087142E7
202406,파주시,현지인방문자(a),6874427.0
202407,파주시,외지인방문자(b),4072572.0
202407,파주시,전체방문자(a+b),1.1135775E7
202407,파주시,현지인방문자(a),7063203.0
202408,파주시,외지인방문자(b),4335656.0
202408,파주시,전체방문자(a+b),1.1352344E7
202408,파주시,현지인방문자(a),7016688.0
202409,파주시,외지인방문자(b),4638498.0
202409,파주시,전체방문자(a+b),1.159039E7
202409,파주시,현지인방문자(a),6951892.0
202410,파주시,외지인방문자(b),4633482.0
202410,파주시,전체방문자(a+b),1.2169658E7
202410,파주시,현지인방문자(a),7536176.0
202411,파주시,외지인방문자(b),4133958.0
202411,파주시,전체방문자(a+b),1.1262797E7
202411,파주시,현지인방문자(a),7128838.0
202412,파주시,외지인방문자(b),3841856.0
202412,파주시,전체방문자(a+b),1.1049342E7
202412,파주시,현지인방문자(a),7207487.0
202501,파주시,외지인방문자(b),4163226.0
202501,파주시,전체방문자(a+b),1.1010342E7
202501,파주시,현지인방문자(a),6847116.0
202502,파주시,외지인방문자(b),3581480.0
202502,파주시,전체방문자(a+b),9937431.0
202502,파주시,현지인방문자(a),6355951.0
202503,파주시,외지인방문자(b),4553766.0
202503,파주시,전체방문자(a+b),1.1702684E7
202503,파주시,현지인방문자(a),7148918.0
202504,파주시,외지인방문자(b),4107460.0
202504,파주시,전체방문자(a+b),1.136505E7
202504,파주시,현지인방문자(a),7257590.0
202505,파주시,외지인방문자(b),5001062.0
202505,파주시,전체방문자(a+b),1.2661058E7
202505,파주시,현지인방문자(a),7659995.0
