기준년월,기초지자체,방문자 구분,방문자 수
202406,송파구,외지인방문자(b),1.0414096E7
202406,송파구,전체방문자(a+b),2.3259208E7
202406,송파구,현지인방문자(a),1.2845112E7
202407,송파구,외지인방문자(b),1.046122E7
202407,송파구,전체방문자(a+b),2.3716798E7
202407,송파구,현지인방문자(a),1.3255578E7
202408,송파구,외지인방문자(b),1.0373069E7
202408,송파구,전체방문자(a+b),2.3283144E7
202408,송파구,현지인방문자(a),1.2910076E7
202409,송파구,외지인방문자(b),1.0322949E7
202409,송파구,전체방문자(a+b),2.2848654E7
202409,송파구,현지인방문자(a),1.2525706E7
202410,송파구,외지인방문자(b),1.099155E7
202410,송파구,전체방문자(a+b),2.4226626E7
202410,송파구,현지인방문자(a),1.3235075E7
202411,송파구,외지인방문자(b),1.0185886E7
202411,송파구,전체방문자(a+b),2.2942048E7
202411,송파구,현지인방문자(a),1.2756163E7
202412,송파구,외지인방문자(b),1.0894202E7
202412,송파구,전체방문자(a+b),2.3822778E7
202412,송파구,현지인방문자(a),1.2928576E7
202501,송파구,외지인방문자(b),9797375.0
202501,송파구,전체방문자(a+b),2.2188918E7
202501,송파구,현지인방문자(a),1.2391544E7
202502,송파구,외지인방문자(b),9739328.0
202502,송파구,전체방문자(a+b),2.1589264E7
202502,송파구,현지인방문자(a),1.1849936E7
202503,송파구,외지인방문자(b),1.1296638E7
202503,송파구,전체방문자(a+b),2.4435632E7
202503,송파구,현지인방문자(a),1.3138993E7
202504,송파구,외지인방문자(b),1.1070535E7
202504,송파구,전체방문자(a+b),2.416254E7
202504,송파구,현지인방문자(a),1.3092006E7
202505,송파구,외지인방문자(b),1.2189342E7
202505,송파구,전체방문자(a+b),2.5668174E7
202505,송파구,현지인방문자(a),1.3478832E7
