기준년월,기초지자체,방문자 구분,방문자 수
202406,속초시,외지인방문자(b),2183776.0
202406,속초시,전체방문자(a+b),4363670.0
202406,속초시,현지인방문자(a),2179894.0
202407,속초시,외지인방문자(b),2351758.0
202407,속초시,전체방문자(a+b),4657880.0
202407,속초시,현지인방문자(a),2306122.0
202408,속초시,외지인방문자(b),3163948.0
202408,속초시,전체방문자(a+b),5384155.0
202408,속초시,현지인방문자(a),2220208.0
202409,속초시,외지인방문자(b),2077957.0
202409,속초시,전체방문자(a+b),4260438.0
202409,속초시,현지인방문자(a),2182481.0
202410,속초시,외지인방문자(b),2328060.0
202410,속초시,전체방문자(a+b),4652624.0
202410,속초시,현지인방문자(a),2324564.0
202411,속초시,외지인방문자(b),1876672.0
202411,속초시,전체방문자(a+b),4104072.0
202411,속초시,현지인방문자(a),2227400.0
202412,속초시,외지인방문자(b),1866966.0
202412,속초시,전체방문자(a+b),4113322.0
202412,속초시,현지인방문자(a),2246356.0
202501,속초시,외지인방문자(b),2140722.0
202501,속초시,전체방문자(a+b),4315706.0
202501,속초시,현지인방문자(a),2174984.0
202502,속초시,외지인방문자(b),1633135.0
202502,속초시,전체방문자(a+b),3652128.0
202502,속초시,현지인방문자(a),2018992.0
202503,속초시,외지인방문자(b),1672052.0
202503,속초시,전체방문자(a+b),3911362.0
202503,속초시,현지인방문자(a),2239310.0
202504,속초시,외지인방문자(b),1653026.0
202504,속초시,전체방문자(a+b),3859527.0
202504,속초시,현지인방문자(a),2206502.0
202505,속초시,외지인방문자(b),2343593.0
202505,속초시,전체방문자(a+b),4655308.0
202505,속초시,현지인방문자(a),2311715.0
