기준년월,기초지자체,방문자 구분,방문자 수
202406,강릉시,외지인방문자(b),2919385.0
202406,강릉시,전체방문자(a+b),8625925.0
202406,강릉시,현지인방문자(a),5706540.0
202407,강릉시,외지인방문자(b),2973705.0
202407,강릉시,전체방문자(a+b),8763366.0
202407,강릉시,현지인방문자(a),5789662.0
202408,강릉시,외지인방문자(b),3831460.0
202408,강릉시,전체방문자(a+b),9597098.0
202408,강릉시,현지인방문자(a),5765638.0
202409,강릉시,외지인방문자(b),2861240.0
202409,강릉시,전체방문자(a+b),8461366.0
202409,강릉시,현지인방문자(a),5600126.0
202410,강릉시,외지인방문자(b),2737116.0
202410,강릉시,전체방문자(a+b),8640730.0
202410,강릉시,현지인방문자(a),5903614.0
202411,강릉시,외지인방문자(b),2324634.0
202411,강릉시,전체방문자(a+b),8121760.0
202411,강릉시,현지인방문자(a),5797127.0
202412,강릉시,외지인방문자(b),2438852.0
202412,강릉시,전체방문자(a+b),8295402.0
202412,강릉시,현지인방문자(a),5856550.0
202501,강릉시,외지인방문자(b),3019202.0
202501,강릉시,전체방문자(a+b),8623125.0
202501,강릉시,현지인방문자(a),5603924.0
202502,강릉시,외지인방문자(b),2303350.0
202502,강릉시,전체방문자(a+b),7457037.0
202502,강릉시,현지인방문자(a),5153687.0
202503,강릉시,외지인방문자(b),2561433.0
202503,강릉시,전체방문자(a+b),8302612.0
202503,강릉시,현지인방문자(a),5741180.0
202504,강릉시,외지인방문자(b),2291044.0
202504,강릉시,전체방문자(a+b),7989768.0
202504,강릉시,현지인방문자(a),5698724.0
202505,강릉시,외지인방문자(b),3197509.0
202505,강릉시,전체방문자(a+b),9275312.0
202505,강릉시,현지인방문자(a),6077802.0
