기준년월,기초지자체,방문자 구분,방문자 수
202406,양양군,외지인방문자(b),1463672.0
202406,양양군,전체방문자(a+b),2378131.0
202406,양양군,현지인방문자(a),914459.0
202407,양양군,외지인방문자(b),1534186.0
202407,양양군,전체방문자(a+b),2469866.0
202407,양양군,현지인방문자(a),935680.0
202408,양양군,외지인방문자(b),2116264.0
202408,양양군,전체방문자(a+b),3033670.0
202408,양양군,현지인방문자(a),917406.0
202409,양양군,외지인방문자(b),1276734.0
202409,양양군,전체방문자(a+b),2164236.0
202409,양양군,현지인방문자(a),887502.0
202410,양양군,외지인방문자(b),1483783.0
202410,양양군,전체방문자(a+b),2423225.0
202410,양양군,현지인방문자(a),939442.0
202411,양양군,외지인방문자(b),1048509.0
202411,양양군,전체방문자(a+b),1931002.0
202411,양양군,현지인방문자(a),882494.0
202412,양양군,외지인방문자(b),940838.0
202412,양양군,전체방문자(a+b),1829429.0
202412,양양군,현지인방문자(a),888590.0
202501,양양군,외지인방문자(b),1115611.0
202501,양양군,전체방문자(a+b),1949608.0
202501,양양군,현지인방문자(a),833998.0
202502,양양군,외지인방문자(b),846136.0
202502,양양군,전체방문자(a+b),1626310.0
202502,양양군,현지인방문자(a),780174.0
202503,양양군,외지인방문자(b),974491.0
202503,양양군,전체방문자(a+b),1842894.0
202503,양양군,현지인방문자(a),868402.0
202504,양양군,외지인방문자(b),1051183.0
202504,양양군,전체방문자(a+b),1939924.0
202504,양양군,현지인방문자(a),888741.0
202505,양양군,외지인방문자(b),1479940.0
202505,양양군,전체방문자(a+b),2390266.0
202505,양양군,현지인방문자(a),910326.0
