기준년월,기초지자체,방문자 구분,방문자 수
202406,충주시,외지인방문자(b),2576178.0
202406,충주시,전체방문자(a+b),7793996.0
202406,충주시,현지인방문자(a),5217818.0
202407,충주시,외지인방문자(b),2467076.0
202407,충주시,전체방문자(a+b),7687732.0
202407,충주시,현지인방문자(a),5220656.0
202408,충주시,외지인방문자(b),2885102.0
202408,충주시,전체방문자(a+b),7945228.0
202408,충주시,현지인방문자(a),5060125.0
202409,충주시,외지인방문자(b),3054429.0
202409,충주시,전체방문자(a+b),8050105.0
202409,충주시,현지인방문자(a),4995676.0
202410,충주시,외지인방문자(b),2790868.0
202410,충주시,전체방문자(a+b),8104170.0
202410,충주시,현지인방문자(a),5313301.0
202411,충주시,외지인방문자(b),2565073.0
202411,충주시,전체방문자(a+b),7760896.0
202411,충주시,현지인방문자(a),5195824.0
202412,충주시,외지인방문자(b),2131532.0
202412,충주시,전체방문자(a+b),7411411.0
202412,충주시,현지인방문자(a),5279880.0
202501,충주시,외지인방문자(b),2364432.0
202501,충주시,전체방문자(a+b),7241896.0
202501,충주시,현지인방문자(a),4877464.0
202502,충주시,외지인방문자(b),1918262.0
202502,충주시,전체방문자(a+b),6429598.0
202502,충주시,현지인방문자(a),4511336.0
202503,충주시,외지인방문자(b),2571860.0
202503,충주시,전체방문자(a+b),7569040.0
202503,충주시,현지인방문자(a),4997181.0
202504,충주시,외지인방문자(b),2377988.0
202504,충주시,전체방문자(a+b),7396564.0
202504,충주시,현지인방문자(a),5018576.0
202505,충주시,외지인방문자(b),2994166.0
202505,충주시,전체방문자(a+b),8405918.0
202505,충주시,현지인방문자(a),5411752.0
