기준년월,기초지자체,방문자 구분,방문자 수
202406,공주시,외지인방문자(b),2126348.0
202406,공주시,전체방문자(a+b),3773774.0
202406,공주시,현지인방문자(a),1647426.0
202407,공주시,외지인방문자(b),2052239.0
202407,공주시,전체방문자(a+b),3641400.0
202407,공주시,현지인방문자(a),1589161.0
202408,공주시,외지인방문자(b),2278262.0
202408,공주시,전체방문자(a+b),3834680.0
202408,공주시,현지인방문자(a),1556418.0
202409,공주시,외지인방문자(b),2346519.0
202409,공주시,전체방문자(a+b),3882627.0
202409,공주시,현지인방문자(a),1536108.0
202410,공주시,외지인방문자(b),2154740.0
202410,공주시,전체방문자(a+b),3823278.0
202410,공주시,현지인방문자(a),1668538.0
202411,공주시,외지인방문자(b),1966223.0
202411,공주시,전체방문자(a+b),3621432.0
202411,공주시,현지인방문자(a),1655210.0
202412,공주시,외지인방문자(b),1539244.0
202412,공주시,전체방문자(a+b),3215216.0
202412,공주시,현지인방문자(a),1675972.0
202501,공주시,외지인방문자(b),1782476.0
202501,공주시,전체방문자(a+b),3296965.0
202501,공주시,현지인방문자(a),1514488.0
202502,공주시,외지인방문자(b),1565977.0
202502,공주시,전체방문자(a+b),2980523.0
202502,공주시,현지인방문자(a),1414546.0
202503,공주시,외지인방문자(b),2084166.0
202503,공주시,전체방문자(a+b),3627964.0
202503,공주시,현지인방문자(a),1543798.0
202504,공주시,외지인방문자(b),2041501.0
202504,공주시,전체방문자(a+b),3636227.0
202504,공주시,현지인방문자(a),1594726.0
202505,공주시,외지인방문자(b),2418398.0
202505,공주시,전체방문자(a+b),4191285.0
202505,공주시,현지인방문자(a),1772886.0
