기준년월,기초지자체,방문자 구분,방문자 수
202406,중구,외지인방문자(b),1.1957908E7
202406,중구,전체방문자(a+b),1.6276536E7
202406,중구,현지인방문자(a),4318629.0
202407,중구,외지인방문자(b),1.1694557E7
202407,중구,전체방문자(a+b),1.6208874E7
202407,중구,현지인방문자(a),4514318.0
202408,중구,외지인방문자(b),1.1650478E7
202408,중구,전체방문자(a+b),1.5785259E7
202408,중구,현지인방문자(a),4134781.0
202409,중구,외지인방문자(b),1.1719155E7
202409,중구,전체방문자(a+b),1.5949668E7
202409,중구,현지인방문자(a),4230513.0
202410,중구,외지인방문자(b),1.3528456E7
202410,중구,전체방문자(a+b),1.8214206E7
202410,중구,현지인방문자(a),4685751.0
202411,중구,외지인방문자(b),1.2655783E7
202411,중구,전체방문자(a+b),1.7030752E7
202411,중구,현지인방문자(a),4374968.0
202412,중구,외지인방문자(b),1.2872206E7
202412,중구,전체방문자(a+b),1.737597E7
202412,중구,현지인방문자(a),4503765.0
202501,중구,외지인방문자(b),1.0905808E7
202501,중구,전체방문자(a+b),1.4981768E7
202501,중구,현지인방문자(a),4075960.0
202502,중구,외지인방문자(b),1.1294766E7
202502,중구,전체방문자(a+b),1.5325306E7
202502,중구,현지인방문자(a),4030540.0
202503,중구,외지인방문자(b),1.2871649E7
202503,중구,전체방문자(a+b),1.7019314E7
202503,중구,현지인방문자(a),4147664.0
202504,중구,외지인방문자(b),1.2161356E7
202504,중구,전체방문자(a+b),1.6736083E7
202504,중구,현지인방문자(a),4574728.0
202505,중구,외지인방문자(b),1.3128724E7
202505,중구,전체방문자(a+b),1.7662628E7
202505,중구,현지인방문자(a),4533904.0
