기준년월,기초지자체,방문자 구분,방문자 수
202406,순천시,외지인방문자(b),2032366.0
202406,순천시,전체방문자(a+b),7322858.0
202406,순천시,현지인방문자(a),5290492.0
202407,순천시,외지인방문자(b),2004772.0
202407,순천시,전체방문자(a+b),7419744.0
202407,순천시,현지인방문자(a),5414972.0
202408,순천시,외지인방문자(b),2135858.0
202408,순천시,전체방문자(a+b),7406354.0
202408,순천시,현지인방문자(a),5270496.0
202409,순천시,외지인방문자(b),2319418.0
202409,순천시,전체방문자(a+b),7508697.0
202409,순천시,현지인방문자(a),5189278.0
202410,순천시,외지인방문자(b),2239909.0
202410,순천시,전체방문자(a+b),7671076.0
202410,순천시,현지인방문자(a),5431167.0
202411,순천시,외지인방문자(b),2219840.0
202411,순천시,전체방문자(a+b),7555510.0
202411,순천시,현지인방문자(a),5335670.0
202412,순천시,외지인방문자(b),2017312.0
202412,순천시,전체방문자(a+b),7473610.0
202412,순천시,현지인방문자(a),5456297.0
202501,순천시,외지인방문자(b),2253472.0
202501,순천시,전체방문자(a+b),7493591.0
202501,순천시,현지인방문자(a),5240120.0
202502,순천시,외지인방문자(b),1769380.0
202502,순천시,전체방문자(a+b),6631804.0
202502,순천시,현지인방문자(a),4862424.0
202503,순천시,외지인방문자(b),2371138.0
202503,순천시,전체방문자(a+b),7780902.0
202503,순천시,현지인방문자(a),5409764.0
202504,순천시,외지인방문자(b),2209207.0
202504,순천시,전체방문자(a+b),7545202.0
202504,순천시,현지인방문자(a),5335995.0
202505,순천시,외지인방문자(b),2662758.0
202505,순천시,전체방문자(a+b),8312188.0
202505,순천시,현지인방문자(a),5649430.0
