기준년월,기초지자체,방문자 구분,방문자 수
202406,목포시,외지인방문자(b),2140190.0
202406,목포시,전체방문자(a+b),7592088.0
202406,목포시,현지인방문자(a),5451898.0
202407,목포시,외지인방문자(b),2248844.0
202407,목포시,전체방문자(a+b),7861371.0
202407,목포시,현지인방문자(a),5612526.0
202408,목포시,외지인방문자(b),2362318.0
202408,목포시,전체방문자(a+b),7768022.0
202408,목포시,현지인방문자(a),5405704.0
202409,목포시,외지인방문자(b),2449643.0
202409,목포시,전체방문자(a+b),7836336.0
202409,목포시,현지인방문자(a),5386692.0
202410,목포시,외지인방문자(b),2287215.0
202410,목포시,전체방문자(a+b),7830802.0
202410,목포시,현지인방문자(a),5543587.0
202411,목포시,외지인방문자(b),2183198.0
202411,목포시,전체방문자(a+b),7589848.0
202411,목포시,현지인방문자(a),5406650.0
202412,목포시,외지인방문자(b),2184756.0
202412,목포시,전체방문자(a+b),7717633.0
202412,목포시,현지인방문자(a),5532877.0
202501,목포시,외지인방문자(b),2452226.0
202501,목포시,전체방문자(a+b),7768366.0
202501,목포시,현지인방문자(a),5316140.0
202502,목포시,외지인방문자(b),1842320.0
202502,목포시,전체방문자(a+b),6716038.0
202502,목포시,현지인방문자(a),4873718.0
202503,목포시,외지인방문자(b),2340107.0
202503,목포시,전체방문자(a+b),7740932.0
202503,목포시,현지인방문자(a),5400826.0
202504,목포시,외지인방문자(b),2164099.0
202504,목포시,전체방문자(a+b),7409906.0
202504,목포시,현지인방문자(a),5245807.0
202505,목포시,외지인방문자(b),2632830.0
202505,목포시,전체방문자(a+b),8148242.0
202505,목포시,현지인방문자(a),5515412.0
