기준년월,기초지자체,방문자 구분,방문자 수
202406,포항시,외지인방문자(b),4588346.0
202406,포항시,전체방문자(a+b),1.343517E7
202406,포항시,현지인방문자(a),8846824.0
202407,포항시,외지인방문자(b),4640486.0
202407,포항시,전체방문자(a+b),1.3629707E7
202407,포항시,현지인방문자(a),8989222.0
202408,포항시,외지인방문자(b),4967462.0
202408,포항시,전체방문자(a+b),1.3577392E7
202408,포항시,현지인방문자(a),8609930.0
202409,포항시,외지인방문자(b),4794727.0
202409,포항시,전체방문자(a+b),1.3422944E7
202409,포항시,현지인방문자(a),8628218.0
202410,포항시,외지인방문자(b),4461926.0
202410,포항시,전체방문자(a+b),1.3467132E7
202410,포항시,현지인방문자(a),9005206.0
202411,포항시,외지인방문자(b),4291144.0
202411,포항시,전체방문자(a+b),1.3141912E7
202411,포항시,현지인방문자(a),8850768.0
202412,포항시,외지인방문자(b),4432368.0
202412,포항시,전체방문자(a+b),1.3462676E7
202412,포항시,현지인방문자(a),9030308.0
202501,포항시,외지인방문자(b),4843062.0
202501,포항시,전체방문자(a+b),1.3439884E7
202501,포항시,현지인방문자(a),8596822.0
202502,포항시,외지인방문자(b),3921026.0
202502,포항시,전체방문자(a+b),1.1974322E7
202502,포항시,현지인방문자(a),8053297.0
202503,포항시,외지인방문자(b),4711833.0
202503,포항시,전체방문자(a+b),1.3574015E7
202503,포항시,현지인방문자(a),8862182.0
202504,포항시,외지인방문자(b),4140766.0
202504,포항시,전체방문자(a+b),1.2937032E7
202504,포항시,현지인방문자(a),8796266.0
202505,포항시,외지인방문자(b),5037806.0
202505,포항시,전체방문자(a+b),1.4247632E7
202505,포항시,현지인방문자(a),9209826.0
