기준년월,기초지자체,방문자 구분,방문자 수
202406,진주시,외지인방문자(b),1707366.0
202406,진주시,전체방문자(a+b),6935870.0
202406,진주시,현지인방문자(a),5228503.0
202407,진주시,외지인방문자(b),1757648.0
202407,진주시,전체방문자(a+b),7007133.0
202407,진주시,현지인방문자(a),5249486.0
202408,진주시,외지인방문자(b),1881358.0
202408,진주시,전체방문자(a+b),6981401.0
202408,진주시,현지인방문자(a),5100042.0
202409,진주시,외지인방문자(b),2121805.0
202409,진주시,전체방문자(a+b),7157762.0
202409,진주시,현지인방문자(a),5035958.0
202410,진주시,외지인방문자(b),2060544.0
202410,진주시,전체방문자(a+b),7370629.0
202410,진주시,현지인방문자(a),5310084.0
202411,진주시,외지인방문자(b),1808580.0
202411,진주시,전체방문자(a+b),7152372.0
202411,진주시,현지인방문자(a),5343793.0
202412,진주시,외지인방문자(b),1763156.0
202412,진주시,전체방문자(a+b),7247180.0
202412,진주시,현지인방문자(a),5484024.0
202501,진주시,외지인방문자(b),1984829.0
202501,진주시,전체방문자(a+b),7042525.0
202501,진주시,현지인방문자(a),5057696.0
202502,진주시,외지인방문자(b),1580138.0
202502,진주시,전체방문자(a+b),6258830.0
202502,진주시,현지인방문자(a),4678692.0
202503,진주시,외지인방문자(b),2139196.0
202503,진주시,전체방문자(a+b),7336858.0
202503,진주시,현지인방문자(a),5197661.0
202504,진주시,외지인방문자(b),1698459.0
202504,진주시,전체방문자(a+b),6768380.0
202504,진주시,현지인방문자(a),5069922.0
202505,진주시,외지인방문자(b),2171284.0
202505,진주시,전체방문자(a+b),7628198.0
202505,진주시,현지인방문자(a),5456913.0
