기준년월,기초지자체,방문자 구분,방문자 수
202406,제주시,외지인방문자(b),4727342.0
202406,제주시,전체방문자(a+b),1.8822962E7
202406,제주시,현지인방문자(a),1.409562E7
202407,제주시,외지인방문자(b),4960277.0
202407,제주시,전체방문자(a+b),1.9417566E7
202407,제주시,현지인방문자(a),1.4457289E7
202408,제주시,외지인방문자(b),5480962.0
202408,제주시,전체방문자(a+b),1.976374E7
202408,제주시,현지인방문자(a),1.4282779E7
202409,제주시,외지인방문자(b),4852712.0
202409,제주시,전체방문자(a+b),1.8822125E7
202409,제주시,현지인방문자(a),1.3969414E7
202410,제주시,외지인방문자(b),5128186.0
202410,제주시,전체방문자(a+b),1.9770888E7
202410,제주시,현지인방문자(a),1.4642702E7
202411,제주시,외지인방문자(b),4557766.0
202411,제주시,전체방문자(a+b),1.8715564E7
202411,제주시,현지인방문자(a),1.4157798E7
202412,제주시,외지인방문자(b),4503068.0
202412,제주시,전체방문자(a+b),1.9064756E7
202412,제주시,현지인방문자(a),1.4561687E7
202501,제주시,외지인방문자(b),4686836.0
202501,제주시,전체방문자(a+b),1.869693E7
202501,제주시,현지인방문자(a),1.4010094E7
202502,제주시,외지인방문자(b),3814265.0
202502,제주시,전체방문자(a+b),1.6576024E7
202502,제주시,현지인방문자(a),1.276176E7
202503,제주시,외지인방문자(b),4567598.0
202503,제주시,전체방문자(a+b),1.889993E7
202503,제주시,현지인방문자(a),1.4332332E7
202504,제주시,외지인방문자(b),4639442.0
202504,제주시,전체방문자(a+b),1.871694E7
202504,제주시,현지인방문자(a),1.4077497E7
202505,제주시,외지인방문자(b),5355553.0
202505,제주시,전체방문자(a+b),2.0129949E7
202505,제주시,현지인방문자(a),1.4774396E7
