기준년월,기초지자체,방문자 구분,방문자 수
202406,서귀포시,외지인방문자(b),3459880.0
202406,서귀포시,전체방문자(a+b),7885588.0
202406,서귀포시,현지인방문자(a),4425708.0
202407,서귀포시,외지인방문자(b),3590912.0
202407,서귀포시,전체방문자(a+b),8143905.0
202407,서귀포시,현지인방문자(a),4552992.0
202408,서귀포시,외지인방문자(b),4082785.0
202408,서귀포시,전체방문자(a+b),8602650.0
202408,서귀포시,현지인방문자(a),4519865.0
202409,서귀포시,외지인방문자(b),3517882.0
202409,서귀포시,전체방문자(a+b),7913836.0
202409,서귀포시,현지인방문자(a),4395954.0
202410,서귀포시,외지인방문자(b),3785684.0
202410,서귀포시,전체방문자(a+b),8490002.0
202410,서귀포시,현지인방문자(a),4704318.0
202411,서귀포시,외지인방문자(b),3396698.0
202411,서귀포시,전체방문자(a+b),7929278.0
202411,서귀포시,현지인방문자(a),4532580.0
202412,서귀포시,외지인방문자(b),3350718.0
202412,서귀포시,전체방문자(a+b),7986758.0
202412,서귀포시,현지인방문자(a),4636040.0
202501,서귀포시,외지인방문자(b),3490165.0
202501,서귀포시,전체방문자(a+b),7963966.0
202501,서귀포시,현지인방문자(a),4473802.0
202502,서귀포시,외지인방문자(b),2663678.0
202502,서귀포시,전체방문자(a+b),6751752.0
202502,서귀포시,현지인방문자(a),4088074.0
202503,서귀포시,외지인방문자(b),3200932.0
202503,서귀포시,전체방문자(a+b),7795578.0
202503,서귀포시,현지인방문자(a),4594646.0
202504,서귀포시,외지인방문자(b),3594356.0
202504,서귀포시,전체방문자(a+b),8128746.0
202504,서귀포시,현지인방문자(a),4534390.0
202505,서귀포시,외지인방문자(b),4038937.0
202505,서귀포시,전체방문자(a+b),8806287.0
202505,서귀포시,현지인방문자(a),4767350.0
