기준년월,기초지자체,방문자 구분,방문자 수
202406,노원구,외지인방문자(b),4720062.0
202406,노원구,전체방문자(a+b),1.3576843E7
202406,노원구,현지인방문자(a),8856782.0
202407,노원구,외지인방문자(b),4688946.0
202407,노원구,전체방문자(a+b),1.3674048E7
202407,노원구,현지인방문자(a),8985102.0
202408,노원구,외지인방문자(b),4824078.0
202408,노원구,전체방문자(a+b),1.3776861E7
202408,노원구,현지인방문자(a),8952783.0
202409,노원구,외지인방문자(b),5246258.0
202409,노원구,전체방문자(a+b),1.4150028E7
202409,노원구,현지인방문자(a),8903769.0
202410,노원구,외지인방문자(b),5019721.0
202410,노원구,전체방문자(a+b),1.4519648E7
202410,노원구,현지인방문자(a),9499928.0
202411,노원구,외지인방문자(b),4831172.0
202411,노원구,전체방문자(a+b),1.3995978E7
202411,노원구,현지인방문자(a),9164806.0
202412,노원구,외지인방문자(b),4721882.0
202412,노원구,전체방문자(a+b),1.3954353E7
202412,노원구,현지인방문자(a),9232472.0
202501,노원구,외지인방문자(b),4705330.0
202501,노원구,전체방문자(a+b),1.354487E7
202501,노원구,현지인방문자(a),8839540.0
202502,노원구,외지인방문자(b),4334242.0
202502,노원구,전체방문자(a+b),1.257061E7
202502,노원구,현지인방문자(a),8236368.0
202503,노원구,외지인방문자(b),5592615.0
202503,노원구,전체방문자(a+b),1.4727566E7
202503,노원구,현지인방문자(a),9134951.0
202504,노원구,외지인방문자(b),4691337.0
202504,노원구,전체방문자(a+b),1.3568247E7
202504,노원구,현지인방문자(a),8876910.0
202505,노원구,외지인방문자(b),5552428.0
202505,노원구,전체방문자(a+b),1.4971954E7
202505,노원구,현지인방문자(a),9419526.0
