기준년월,기초지자체,방문자 구분,방문자 수
202406,해운대구,외지인방문자(b),5650904.0
202406,해운대구,전체방문자(a+b),1.2858405E7
202406,해운대구,현지인방문자(a),7207501.0
202407,해운대구,외지인방문자(b),6023087.0
202407,해운대구,전체방문자(a+b),1.3423228E7
202407,해운대구,현지인방문자(a),7400141.0
202408,해운대구,외지인방문자(b),6469078.0
202408,해운대구,전체방문자(a+b),1.3690492E7
202408,해운대구,현지인방문자(a),7221414.0
202409,해운대구,외지인방문자(b),5775126.0
202409,해운대구,전체방문자(a+b),1.288972E7
202409,해운대구,현지인방문자(a),7114594.0
202410,해운대구,외지인방문자(b),5685292.0
202410,해운대구,전체방문자(a+b),1.306815E7
202410,해운대구,현지인방문자(a),7382858.0
202411,해운대구,외지인방문자(b),5624714.0
202411,해운대구,전체방문자(a+b),1.2902456E7
202411,해운대구,현지인방문자(a),7277742.0
202412,해운대구,외지인방문자(b),5872240.0
202412,해운대구,전체방문자(a+b),1.3460878E7
202412,해운대구,현지인방문자(a),7588637.0
202501,해운대구,외지인방문자(b),5993704.0
202501,해운대구,전체방문자(a+b),1.3187318E7
202501,해운대구,현지인방문자(a),7193613.0
202502,해운대구,외지인방문자(b),5217009.0
202502,해운대구,전체방문자(a+b),1.1914735E7
202502,해운대구,현지인방문자(a),6697726.0
202503,해운대구,외지인방문자(b),5662184.0
202503,해운대구,전체방문자(a+b),1.2944617E7
202503,해운대구,현지인방문자(a),7282432.0
202504,해운대구,외지인방문자(b),5141202.0
202504,해운대구,전체방문자(a+b),1.2331753E7
202504,해운대구,현지인방문자(a),7190550.0
202505,해운대구,외지인방문자(b),6387266.0
202505,해운대구,전체방문자(a+b),1.3830212E7
202505,해운대구,현지인방문자(a),7442946.0
