기준년월,기초지자체,방문자 구분,방문자 수
202406,사하구,외지인방문자(b),1895586.0
202406,사하구,전체방문자(a+b),5970804.0
202406,사하구,현지인방문자(a),4075218.0
202407,사하구,외지인방문자(b),1994576.0
202407,사하구,전체방문자(a+b),6134440.0
202407,사하구,현지인방문자(a),4139863.0
202408,사하구,외지인방문자(b),1976020.0
202408,사하구,전체방문자(a+b),5998506.0
202408,사하구,현지인방문자(a),4022487.0
202409,사하구,외지인방문자(b),2177378.0
202409,사하구,전체방문자(a+b),6055112.0
202409,사하구,현지인방문자(a),3877734.0
202410,사하구,외지인방문자(b),2049579.0
202410,사하구,전체방문자(a+b),6278198.0
202410,사하구,현지인방문자(a),4228620.0
202411,사하구,외지인방문자(b),1974668.0
202411,사하구,전체방문자(a+b),6381914.0
202411,사하구,현지인방문자(a),4407246.0
202412,사하구,외지인방문자(b),2001573.0
202412,사하구,전체방문자(a+b),6561216.0
202412,사하구,현지인방문자(a),4559642.0
202501,사하구,외지인방문자(b),2133596.0
202501,사하구,전체방문자(a+b),6399768.0
202501,사하구,현지인방문자(a),4266171.0
202502,사하구,외지인방문자(b),1789890.0
202502,사하구,전체방문자(a+b),5763776.0
202502,사하구,현지인방문자(a),3973886.0
202503,사하구,외지인방문자(b),2246699.0
202503,사하구,전체방문자(a+b),6583724.0
202503,사하구,현지인방문자(a),4337025.0
202504,사하구,외지인방문자(b),1862130.0
202504,사하구,전체방문자(a+b),6224106.0
202504,사하구,현지인방문자(a),4361976.0
202505,사하구,외지인방문자(b),2286638.0
202505,사하구,전체방문자(a+b),6926686.0
202505,사하구,현지인방문자(a),4640048.0
