기준년월,기초지자체,방문자 구분,방문자 수
202406,남동구,외지인방문자(b),4438063.0
202406,남동구,전체방문자(a+b),1.1124606E7
202406,남동구,현지인방문자(a),6686544.0
202407,남동구,외지인방문자(b),4420154.0
202407,남동구,전체방문자(a+b),1.125713E7
202407,남동구,현지인방문자(a),6836977.0
202408,남동구,외지인방문자(b),4393438.0
202408,남동구,전체방문자(a+b),1.091187E7
202408,남동구,현지인방문자(a),6518432.0
202409,남동구,외지인방문자(b),4718301.0
202409,남동구,전체방문자(a+b),1.111753E7
202409,남동구,현지인방문자(a),6399228.0
202410,남동구,외지인방문자(b),4849845.0
202410,남동구,전체방문자(a+b),1.1780136E7
202410,남동구,현지인방문자(a),6930290.0
202411,남동구,외지인방문자(b),4474470.0
202411,남동구,전체방문자(a+b),1.1226498E7
202411,남동구,현지인방문자(a),6752028.0
202412,남동구,외지인방문자(b),4459360.0
202412,남동구,전체방문자(a+b),1.1334852E7
202412,남동구,현지인방문자(a),6875491.0
202501,남동구,외지인방문자(b),4456686.0
202501,남동구,전체방문자(a+b),1.1128705E7
202501,남동구,현지인방문자(a),6672018.0
202502,남동구,외지인방문자(b),4089452.0
202502,남동구,전체방문자(a+b),1.0353973E7
202502,남동구,현지인방문자(a),6264520.0
202503,남동구,외지인방문자(b),4852250.0
202503,남동구,전체방문자(a+b),1.1781802E7
202503,남동구,현지인방문자(a),6929552.0
202504,남동구,외지인방문자(b),4555170.0
202504,남동구,전체방문자(a+b),1.1486646E7
202504,남동구,현지인방문자(a),6931477.0
202505,남동구,외지인방문자(b),5345788.0
202505,남동구,전체방문자(a+b),1.2636586E7
202505,남동구,현지인방문자(a),7290798.0
