기준년월,기초지자체,방문자 구분,방문자 수
202406,계양구,외지인방문자(b),2382310.0
202406,계양구,전체방문자(a+b),5995941.0
202406,계양구,현지인방문자(a),3613631.0
202407,계양구,외지인방문자(b),2339694.0
202407,계양구,전체방문자(a+b),6039394.0
202407,계양구,현지인방문자(a),3699700.0
202408,계양구,외지인방문자(b),2475596.0
202408,계양구,전체방문자(a+b),6048833.0
202408,계양구,현지인방문자(a),3573238.0
202409,계양구,외지인방문자(b),2635094.0
202409,계양구,전체방문자(a+b),6140890.0
202409,계양구,현지인방문자(a),3505796.0
202410,계양구,외지인방문자(b),2678974.0
202410,계양구,전체방문자(a+b),6615836.0
202410,계양구,현지인방문자(a),3936863.0
202411,계양구,외지인방문자(b),2524302.0
202411,계양구,전체방문자(a+b),6309660.0
202411,계양구,현지인방문자(a),3785358.0
202412,계양구,외지인방문자(b),2490134.0
202412,계양구,전체방문자(a+b),6300644.0
202412,계양구,현지인방문자(a),3810510.0
202501,계양구,외지인방문자(b),2522776.0
202501,계양구,전체방문자(a+b),6226983.0
202501,계양구,현지인방문자(a),3704208.0
202502,계양구,외지인방문자(b),2247637.0
202502,계양구,전체방문자(a+b),5668674.0
202502,계양구,현지인방문자(a),3421036.0
202503,계양구,외지인방문자(b),2730564.0
202503,계양구,전체방문자(a+b),6522618.0
202503,계양구,현지인방문자(a),3792054.0
202504,계양구,외지인방문자(b),2419088.0
202504,계양구,전체방문자(a+b),6230798.0
202504,계양구,현지인방문자(a),3811710.0
202505,계양구,외지인방문자(b),2968620.0
202505,계양구,전체방문자(a+b),7003843.0
202505,계양구,현지인방문자(a),4035224.0
