기준년월,기초지자체,방문자 구분,방문자 수
202406,남구,외지인방문자(b),1583792.0
202406,남구,전체방문자(a+b),3378252.0
202406,남구,현지인방문자(a),1794460.0
202407,남구,외지인방문자(b),1677364.0
202407,남구,전체방문자(a+b),3476529.0
202407,남구,현지인방문자(a),1799164.0
202408,남구,외지인방문자(b),1649998.0
202408,남구,전체방문자(a+b),3350767.0
202408,남구,현지인방문자(a),1700769.0
202409,남구,외지인방문자(b),1861629.0
202409,남구,전체방문자(a+b),3556287.0
202409,남구,현지인방문자(a),1694658.0
202410,남구,외지인방문자(b),1632998.0
202410,남구,전체방문자(a+b),3432838.0
202410,남구,현지인방문자(a),1799840.0
202411,남구,외지인방문자(b),1606738.0
202411,남구,전체방문자(a+b),3418922.0
202411,남구,현지인방문자(a),1812184.0
202412,남구,외지인방문자(b),1694130.0
202412,남구,전체방문자(a+b),3541296.0
202412,남구,현지인방문자(a),1847167.0
202501,남구,외지인방문자(b),1799214.0
202501,남구,전체방문자(a+b),3559426.0
202501,남구,현지인방문자(a),1760213.0
202502,남구,외지인방문자(b),1519630.0
202502,남구,전체방문자(a+b),3120702.0
202502,남구,현지인방문자(a),1601072.0
202503,남구,외지인방문자(b),1958148.0
202503,남구,전체방문자(a+b),3715264.0
202503,남구,현지인방문자(a),1757116.0
202504,남구,외지인방문자(b),1585150.0
202504,남구,전체방문자(a+b),3370532.0
202504,남구,현지인방문자(a),1785382.0
202505,남구,외지인방문자(b),1936907.0
202505,남구,전체방문자(a+b),3831978.0
202505,남구,현지인방문자(a),1895072.0
