기준년월,기초지자체,방문자 구분,방문자 수
202406,북구,외지인방문자(b),3846874.0
202406,북구,전체방문자(a+b),1.0918506E7
202406,북구,현지인방문자(a),7071631.0
202407,북구,외지인방문자(b),3970760.0
202407,북구,전체방문자(a+b),1.1158476E7
202407,북구,현지인방문자(a),7187716.0
202408,북구,외지인방문자(b),3961332.0
202408,북구,전체방문자(a+b),1.0792376E7
202408,북구,현지인방문자(a),6831044.0
202409,북구,외지인방문자(b),4525423.0
202409,북구,전체방문자(a+b),1.139559E7
202409,북구,현지인방문자(a),6870168.0
202410,북구,외지인방문자(b),4066338.0
202410,북구,전체방문자(a+b),1.1542104E7
202410,북구,현지인방문자(a),7475766.0
202411,북구,외지인방문자(b),3892049.0
202411,북구,전체방문자(a+b),1.1427437E7
202411,북구,현지인방문자(a),7535388.0
202412,북구,외지인방문자(b),3910056.0
202412,북구,전체방문자(a+b),1.1521612E7
202412,북구,현지인방문자(a),7611555.0
202501,북구,외지인방문자(b),4150594.0
202501,북구,전체방문자(a+b),1.1516488E7
202501,북구,현지인방문자(a),7365894.0
202502,북구,외지인방문자(b),3498106.0
202502,북구,전체방문자(a+b),1.0361236E7
202502,북구,현지인방문자(a),6863129.0
202503,북구,외지인방문자(b),4714178.0
202503,북구,전체방문자(a+b),1.231818E7
202503,북구,현지인방문자(a),7604002.0
202504,북구,외지인방문자(b),3959536.0
202504,북구,전체방문자(a+b),1.1515952E7
202504,북구,현지인방문자(a),7556416.0
202505,북구,외지인방문자(b),4780132.0
202505,북구,전체방문자(a+b),1.28289E7
202505,북구,현지인방문자(a),8048768.0
