기준년월,기초지자체,방문자 구분,방문자 수
202406,수원시,외지인방문자(b),1.5025062E7
202406,수원시,전체방문자(a+b),3.2353408E7
202406,수원시,현지인방문자(a),1.7328346E7
202407,수원시,외지인방문자(b),1.5169637E7
202407,수원시,전체방문자(a+b),3.285092E7
202407,수원시,현지인방문자(a),1.7681282E7
202408,수원시,외지인방문자(b),1.537508E7
202408,수원시,전체방문자(a+b),3.2609339E7
202408,수원시,현지인방문자(a),1.7234259E7
202409,수원시,외지인방문자(b),1.5598342E7
202409,수원시,전체방문자(a+b),3.2415068E7
202409,수원시,현지인방문자(a),1.6816726E7
202410,수원시,외지인방문자(b),1.6517361E7
202410,수원시,전체방문자(a+b),3.4857148E7
202410,수원시,현지인방문자(a),1.8339786E7
202411,수원시,외지인방문자(b),1.5226841E7
202411,수원시,전체방문자(a+b),3.3092283E7
202411,수원시,현지인방문자(a),1.7865442E7
202412,수원시,외지인방문자(b),1.5766632E7
202412,수원시,전체방문자(a+b),3.3937816E7
202412,수원시,현지인방문자(a),1.8171184E7
202501,수원시,외지인방문자(b),1.5224024E7
202501,수원시,전체방문자(a+b),3.2598678E7
202501,수원시,현지인방문자(a),1.7374654E7
202502,수원시,외지인방문자(b),1.4198146E7
202502,수원시,전체방문자(a+b),3.0337405E7
202502,수원시,현지인방문자(a),1.613926E7
202503,수원시,외지인방문자(b),1.7532179E7
202503,수원시,전체방문자(a+b),3.534601E7
202503,수원시,현지인방문자(a),1.7813831E7
202504,수원시,외지인방문자(b),1.5384019E7
202504,수원시,전체방문자(a+b),3.313708E7
202504,수원시,현지인방문자(a),1.775306E7
202505,수원시,외지인방문자(b),1.7647332E7
202505,수원시,전체방문자(a+b),3.6327515E7
202505,수원시,현지인방문자(a),1.8680182E7
