기준년월,기초지자체,방문자 구분,방문자 수
202406,용인시,외지인방문자(b),1.1064942E7
202406,용인시,전체방문자(a+b),2.816143E7
202406,용인시,현지인방문자(a),1.7096488E7
202407,용인시,외지인방문자(b),1.102333E7
202407,용인시,전체방문자(a+b),2.8146962E7
202407,용인시,현지인방문자(a),1.7123631E7
202408,용인시,외지인방문자(b),1.1449942E7
202408,용인시,전체방문자(a+b),2.7981681E7
202408,용인시,현지인방문자(a),1.6531739E7
202409,용인시,외지인방문자(b),1.2010506E7
202409,용인시,전체방문자(a+b),2.8375074E7
202409,용인시,현지인방문자(a),1.6364568E7
202410,용인시,외지인방문자(b),1.2313116E7
202410,용인시,전체방문자(a+b),2.9966804E7
202410,용인시,현지인방문자(a),1.7653688E7
202411,용인시,외지인방문자(b),1.0988534E7
202411,용인시,전체방문자(a+b),2.8006727E7
202411,용인시,현지인방문자(a),1.7018194E7
202412,용인시,외지인방문자(b),1.0586692E7
202412,용인시,전체방문자(a+b),2.7805568E7
202412,용인시,현지인방문자(a),1.7218876E7
202501,용인시,외지인방문자(b),1.0671398E7
202501,용인시,전체방문자(a+b),2.7073764E7
202501,용인시,현지인방문자(a),1.6402365E7
202502,용인시,외지인방문자(b),9949580.0
202502,용인시,전체방문자(a+b),2.5330578E7
202502,용인시,현지인방문자(a),1.5380998E7
202503,용인시,외지인방문자(b),1.2627808E7
202503,용인시,전체방문자(a+b),2.9643243E7
202503,용인시,현지인방문자(a),1.7015436E7
202504,용인시,외지인방문자(b),1.1068278E7
202504,용인시,전체방문자(a+b),2.8307682E7
202504,용인시,현지인방문자(a),1.7239404E7
202505,용인시,외지인방문자(b),1.336392E7
202505,용인시,전체방문자(a+b),3.1540162E7
202505,용인시,현지인방문자(a),1.8176242E7
