기준년월,기초지자체,방문자 구분,방문자 수
202406,화성시,외지인방문자(b),7938332.0
202406,화성시,전체방문자(a+b),2.2911441E7
202406,화성시,현지인방문자(a),1.4973108E7
202407,화성시,외지인방문자(b),8024317.0
202407,화성시,전체방문자(a+b),2.3537199E7
202407,화성시,현지인방문자(a),1.5512882E7
202408,화성시,외지인방문자(b),8141276.0
202408,화성시,전체방문자(a+b),2.3089843E7
202408,화성시,현지인방문자(a),1.4948566E7
202409,화성시,외지인방문자(b),8494150.0
202409,화성시,전체방문자(a+b),2.3207429E7
202409,화성시,현지인방문자(a),1.4713279E7
202410,화성시,외지인방문자(b),9098226.0
202410,화성시,전체방문자(a+b),2.5403354E7
202410,화성시,현지인방문자(a),1.6305128E7
202411,화성시,외지인방문자(b),8009564.0
202411,화성시,전체방문자(a+b),2.3471042E7
202411,화성시,현지인방문자(a),1.5461478E7
202412,화성시,외지인방문자(b),7900025.0
202412,화성시,전체방문자(a+b),2.37988E7
202412,화성시,현지인방문자(a),1.5898774E7
202501,화성시,외지인방문자(b),7806897.0
202501,화성시,전체방문자(a+b),2.2923422E7
202501,화성시,현지인방문자(a),1.5116524E7
202502,화성시,외지인방문자(b),7406584.0
202502,화성시,전체방문자(a+b),2.172199E7
202502,화성시,현지인방문자(a),1.4315406E7
202503,화성시,외지인방문자(b),8968452.0
202503,화성시,전체방문자(a+b),2.4646055E7
202503,화성시,현지인방문자(a),1.5677602E7
202504,화성시,외지인방문자(b),8060031.0
202504,화성시,전체방문자(a+b),2.3958746E7
202504,화성시,현지인방문자(a),1.5898715E7
202505,화성시,외지인방문자(b),9593510.0
202505,화성시,전체방문자(a+b),2.6108383E7
202505,화성시,현지인방문자(a),1.6514872E7
