기준년월,기초지자체,방문자 구분,방문자 수
202406,청주시,외지인방문자(b),8961484.0
202406,청주시,전체방문자(a+b),2.0320524E7
202406,청주시,현지인방문자(a),1.135904E7
202407,청주시,외지인방문자(b),8985081.0
202407,청주시,전체방문자(a+b),2.0418251E7
202407,청주시,현지인방문자(a),1.143317E7
202408,청주시,외지인방문자(b),9171778.0
202408,청주시,전체방문자(a+b),2.0141107E7
202408,청주시,현지인방문자(a),1.0969329E7
202409,청주시,외지인방문자(b),9902154.0
202409,청주시,전체방문자(a+b),2.0900456E7
202409,청주시,현지인방문자(a),1.0998302E7
202410,청주시,외지인방문자(b),9575976.0
202410,청주시,전체방문자(a+b),2.1260666E7
202410,청주시,현지인방문자(a),1.168469E7
202411,청주시,외지인방문자(b),9180258.0
202411,청주시,전체방문자(a+b),2.0536954E7
202411,청주시,현지인방문자(a),1.1356695E7
202412,청주시,외지인방문자(b),9146014.0
202412,청주시,전체방문자(a+b),2.0666944E7
202412,청주시,현지인방문자(a),1.1520929E7
202501,청주시,외지인방문자(b),9159801.0
202501,청주시,전체방문자(a+b),1.9996764E7
202501,청주시,현지인방문자(a),1.0836962E7
202502,청주시,외지인방문자(b),8439476.0
202502,청주시,전체방문자(a+b),1.8626384E7
202502,청주시,현지인방문자(a),1.0186908E7
202503,청주시,외지인방문자(b),1.0245624E7
202503,청주시,전체방문자(a+b),2.1238074E7
202503,청주시,현지인방문자(a),1.099245E7
202504,청주시,외지인방문자(b),9310833.0
202504,청주시,전체방문자(a+b),2.0580273E7
202504,청주시,현지인방문자(a),1.126944E7
202505,청주시,외지인방문자(b),1.0443048E7
202505,청주시,전체방문자(a+b),2.2702855E7
202505,청주시,현지인방문자(a),1.2259807E7
