기준년월,기초지자체,방문자 구분,방문자 수
202406,군산시,외지인방문자(b),2076935.0
202406,군산시,전체방문자(a+b),8161962.0
202406,군산시,현지인방문자(a),6085026.0
202407,군산시,외지인방문자(b),1980458.0
202407,군산시,전체방문자(a+b),8174684.0
202407,군산시,현지인방문자(a),6194226.0
202408,군산시,외지인방문자(b),2291110.0
202408,군산시,전체방문자(a+b),8334627.0
202408,군산시,현지인방문자(a),6043516.0
202409,군산시,외지인방문자(b),2521306.0
202409,군산시,전체방문자(a+b),8519648.0
202409,군산시,현지인방문자(a),5998342.0
202410,군산시,외지인방문자(b),2306087.0
202410,군산시,전체방문자(a+b),8631108.0
202410,군산시,현지인방문자(a),6325022.0
202411,군산시,외지인방문자(b),2067692.0
202411,군산시,전체방문자(a+b),8193210.0
202411,군산시,현지인방문자(a),6125518.0
202412,군산시,외지인방문자(b),1923176.0
202412,군산시,전체방문자(a+b),8130924.0
202412,군산시,현지인방문자(a),6207747.0
202501,군산시,외지인방문자(b),2099618.0
202501,군산시,전체방문자(a+b),7969227.0
202501,군산시,현지인방문자(a),5869608.0
202502,군산시,외지인방문자(b),1634672.0
202502,군산시,전체방문자(a+b),7142366.0
202502,군산시,현지인방문자(a),5507694.0
202503,군산시,외지인방문자(b),2281318.0
202503,군산시,전체방문자(a+b),8356660.0
202503,군산시,현지인방문자(a),6075342.0
202504,군산시,외지인방문자(b),2003334.0
202504,군산시,전체방문자(a+b),7981522.0
202504,군산시,현지인방문자(a),5978189.0
202505,군산시,외지인방문자(b),2519447.0
202505,군산시,전체방문자(a+b),8855494.0
202505,군산시,현지인방문자(a),6336046.0
