기준년월,기초지자체,방문자 구분,방문자 수
202406,여수시,외지인방문자(b),2177962.0
202406,여수시,전체방문자(a+b),6992948.0
202406,여수시,현지인방문자(a),4814985.0
202407,여수시,외지인방문자(b),2292542.0
202407,여수시,전체방문자(a+b),7248476.0
202407,여수시,현지인방문자(a),4955934.0
202408,여수시,외지인방문자(b),2812467.0
202408,여수시,전체방문자(a+b),7656635.0
202408,여수시,현지인방문자(a),4844168.0
202409,여수시,외지인방문자(b),2326734.0
202409,여수시,전체방문자(a+b),7101815.0
202409,여수시,현지인방문자(a),4775082.0
202410,여수시,외지인방문자(b),2226340.0
202410,여수시,전체방문자(a+b),7316239.0
202410,여수시,현지인방문자(a),5089900.0
202411,여수시,외지인방문자(b),2061476.0
202411,여수시,전체방문자(a+b),6990214.0
202411,여수시,현지인방문자(a),4928738.0
202412,여수시,외지인방문자(b),2017799.0
202412,여수시,전체방문자(a+b),7044552.0
202412,여수시,현지인방문자(a),5026752.0
202501,여수시,외지인방문자(b),2294649.0
202501,여수시,전체방문자(a+b),7105948.0
202501,여수시,현지인방문자(a),4811300.0
202502,여수시,외지인방문자(b),1767426.0
202502,여수시,전체방문자(a+b),6213956.0
202502,여수시,현지인방문자(a),4446530.0
202503,여수시,외지인방문자(b),2161376.0
202503,여수시,전체방문자(a+b),7095137.0
202503,여수시,현지인방문자(a),4933761.0
202504,여수시,외지인방문자(b),1959878.0
202504,여수시,전체방문자(a+b),6799040.0
202504,여수시,현지인방문자(a),4839163.0
202505,여수시,외지인방문자(b),2522880.0
202505,여수시,전체방문자(a+b),7590702.0
202505,여수시,현지인방문자(a),5067822.0
