기준년월,기초지자체,방문자 구분,방문자 수
202406,나주시,외지인방문자(b),1278652.0
202406,나주시,전체방문자(a+b),3576822.0
202406,나주시,현지인방문자(a),2298170.0
202407,나주시,외지인방문자(b),1290384.0
202407,나주시,전체방문자(a+b),3617215.0
202407,나주시,현지인방문자(a),2326832.0
202408,나주시,외지인방문자(b),1386584.0
202408,나주시,전체방문자(a+b),3627796.0
202408,나주시,현지인방문자(a),2241211.0
202409,나주시,외지인방문자(b),1512497.0
202409,나주시,전체방문자(a+b),3744629.0
202409,나주시,현지인방문자(a),2232132.0
202410,나주시,외지인방문자(b),1429638.0
202410,나주시,전체방문자(a+b),3794480.0
202410,나주시,현지인방문자(a),2364842.0
202411,나주시,외지인방문자(b),1322538.0
202411,나주시,전체방문자(a+b),3614776.0
202411,나주시,현지인방문자(a),2292238.0
202412,나주시,외지인방문자(b),1213118.0
202412,나주시,전체방문자(a+b),3537436.0
202412,나주시,현지인방문자(a),2324318.0
202501,나주시,외지인방문자(b),1321131.0
202501,나주시,전체방문자(a+b),3487008.0
202501,나주시,현지인방문자(a),2165877.0
202502,나주시,외지인방문자(b),1077374.0
202502,나주시,전체방문자(a+b),3109004.0
202502,나주시,현지인방문자(a),2031631.0
202503,나주시,외지인방문자(b),1503068.0
202503,나주시,전체방문자(a+b),3747639.0
202503,나주시,현지인방문자(a),2244571.0
202504,나주시,외지인방문자(b),1384929.0
202504,나주시,전체방문자(a+b),3621842.0
202504,나주시,현지인방문자(a),2236913.0
202505,나주시,외지인방문자(b),1582200.0
202505,나주시,전체방문자(a+b),3973270.0
202505,나주시,현지인방문자(a),2391070.0
