기준년월,기초지자체,방문자 구분,방문자 수
202406,영등포구,외지인방문자(b),9665810.0
202406,영등포구,전체방문자(a+b),1.7922922E7
202406,영등포구,현지인방문자(a),8257112.0
202407,영등포구,외지인방문자(b),9752904.0
202407,영등포구,전체방문자(a+b),1.847734E7
202407,영등포구,현지인방문자(a),8724436.0
202408,영등포구,외지인방문자(b),9604812.0
202408,영등포구,전체방문자(a+b),1.7820506E7
202408,영등포구,현지인방문자(a),8215694.0
202409,영등포구,외지인방문자(b),9271762.0
202409,영등포구,전체방문자(a+b),1.7208667E7
202409,영등포구,현지인방문자(a),7936904.0
202410,영등포구,외지인방문자(b),1.047467E7
202410,영등포구,전체방문자(a+b),1.8997643E7
202410,영등포구,현지인방문자(a),8522972.0
202411,영등포구,외지인방문자(b),9454196.0
202411,영등포구,전체방문자(a+b),1.7549735E7
202411,영등포구,현지인방문자(a),8095538.0
202412,영등포구,외지인방문자(b),1.0563444E7
202412,영등포구,전체방문자(a+b),1.8842632E7
202412,영등포구,현지인방문자(a),8279187.0
202501,영등포구,외지인방문자(b),8673056.0
202501,영등포구,전체방문자(a+b),1.6532691E7
202501,영등포구,현지인방문자(a),7859635.0
202502,영등포구,외지인방문자(b),8862066.0
202502,영등포구,전체방문자(a+b),1.6555595E7
202502,영등포구,현지인방문자(a),7693528.0
202503,영등포구,외지인방문자(b),1.0180622E7
202503,영등포구,전체방문자(a+b),1.8518826E7
202503,영등포구,현지인방문자(a),8338204.0
202504,영등포구,외지인방문자(b),9824311.0
202504,영등포구,전체방문자(a+b),1.8550378E7
202504,영등포구,현지인방문자(a),8726067.0
202505,영등포구,외지인방문자(b),1.0714823E7
202505,영등포구,전체방문자(a+b),1.9356382E7
202505,영등포구,현지인방문자(a),8641560.0
