기준년월,기초지자체,방문자 구분,방문자 수
202406,경주시,외지인방문자(b),3833994.0
202406,경주시,전체방문자(a+b),9133292.0
202406,경주시,현지인방문자(a),5299298.0
202407,경주시,외지인방문자(b),3928858.0
202407,경주시,전체방문자(a+b),9318645.0
202407,경주시,현지인방문자(a),5389786.0
202408,경주시,외지인방문자(b),4482152.0
202408,경주시,전체방문자(a+b),9690443.0
202408,경주시,현지인방문자(a),5208290.0
202409,경주시,외지인방문자(b),4203272.0
202409,경주시,전체방문자(a+b),9441831.0
202409,경주시,현지인방문자(a),5238558.0
202410,경주시,외지인방문자(b),4187480.0
202410,경주시,전체방문자(a+b),9679540.0
202410,경주시,현지인방문자(a),5492060.0
202411,경주시,외지인방문자(b),3977936.0
202411,경주시,전체방문자(a+b),9371866.0
202411,경주시,현지인방문자(a),5393930.0
202412,경주시,외지인방문자(b),3467401.0
202412,경주시,전체방문자(a+b),8955860.0
202412,경주시,현지인방문자(a),5488458.0
202501,경주시,외지인방문자(b),3962704.0
202501,경주시,전체방문자(a+b),9146816.0
202501,경주시,현지인방문자(a),5184112.0
202502,경주시,외지인방문자(b),3160731.0
202502,경주시,전체방문자(a+b),8007440.0
202502,경주시,현지인방문자(a),4846709.0
202503,경주시,외지인방문자(b),3896246.0
202503,경주시,전체방문자(a+b),9280890.0
202503,경주시,현지인방문자(a),5384645.0
202504,경주시,외지인방문자(b),4025546.0
202504,경주시,전체방문자(a+b),9376930.0
202504,경주시,현지인방문자(a),5351384.0
202505,경주시,외지인방문자(b),4547774.0
202505,경주시,전체방문자(a+b),1.0196907E7
202505,경주시,현지인방문자(a),5649133.0
