기준년월,기초지자체,방문자 구분,방문자 수
202406,안동시,외지인방문자(b),1346870.0
202406,안동시,전체방문자(a+b),4987238.0
202406,안동시,현지인방문자(a),3640368.0
202407,안동시,외지인방문자(b),1333678.0
202407,안동시,전체방문자(a+b),4999348.0
202407,안동시,현지인방문자(a),3665669.0
202408,안동시,외지인방문자(b),1504968.0
202408,안동시,전체방문자(a+b),5046622.0
202408,안동시,현지인방문자(a),3541654.0
202409,안동시,외지인방문자(b),1788619.0
202409,안동시,전체방문자(a+b),5358532.0
202409,안동시,현지인방문자(a),3569912.0
202410,안동시,외지인방문자(b),1542940.0
202410,안동시,전체방문자(a+b),5319436.0
202410,안동시,현지인방문자(a),3776496.0
202411,안동시,외지인방문자(b),1442360.0
202411,안동시,전체방문자(a+b),5146074.0
202411,안동시,현지인방문자(a),3703714.0
202412,안동시,외지인방문자(b),1292750.0
202412,안동시,전체방문자(a+b),4970910.0
202412,안동시,현지인방문자(a),3678160.0
202501,안동시,외지인방문자(b),1542359.0
202501,안동시,전체방문자(a+b),5007370.0
202501,안동시,현지인방문자(a),3465010.0
202502,안동시,외지인방문자(b),1091874.0
202502,안동시,전체방문자(a+b),4309896.0
202502,안동시,현지인방문자(a),3218022.0
202503,안동시,외지인방문자(b),1493842.0
202503,안동시,전체방문자(a+b),5067108.0
202503,안동시,현지인방문자(a),3573266.0
202504,안동시,외지인방문자(b),1277952.0
202504,안동시,전체방문자(a+b),4879091.0
202504,안동시,현지인방문자(a),3601140.0
202505,안동시,외지인방문자(b),1658996.0
202505,안동시,전체방문자(a+b),5482046.0
202505,안동시,현지인방문자(a),3823050.0
