기준년월,기초지자체,방문자 구분,방문자 수
202406,통영시,외지인방문자(b),1269758.0
202406,통영시,전체방문자(a+b),3549136.0
202406,통영시,현지인방문자(a),2279378.0
202407,통영시,외지인방문자(b),1260458.0
202407,통영시,전체방문자(a+b),3578687.0
202407,통영시,현지인방문자(a),2318228.0
202408,통영시,외지인방문자(b),1519962.0
202408,통영시,전체방문자(a+b),3781614.0
202408,통영시,현지인방문자(a),2261651.0
202409,통영시,외지인방문자(b),1352942.0
202409,통영시,전체방문자(a+b),3602641.0
202409,통영시,현지인방문자(a),2249698.0
202410,통영시,외지인방문자(b),1296886.0
202410,통영시,전체방문자(a+b),3664500.0
202410,통영시,현지인방문자(a),2367614.0
202411,통영시,외지인방문자(b),1321184.0
202411,통영시,전체방문자(a+b),3632356.0
202411,통영시,현지인방문자(a),2311172.0
202412,통영시,외지인방문자(b),1230999.0
202412,통영시,전체방문자(a+b),3593933.0
202412,통영시,현지인방문자(a),2362934.0
202501,통영시,외지인방문자(b),1446750.0
202501,통영시,전체방문자(a+b),3711407.0
202501,통영시,현지인방문자(a),2264658.0
202502,통영시,외지인방문자(b),1013520.0
202502,통영시,전체방문자(a+b),3117233.0
202502,통영시,현지인방문자(a),2103714.0
202503,통영시,외지인방문자(b),1274130.0
202503,통영시,전체방문자(a+b),3616070.0
202503,통영시,현지인방문자(a),2341941.0
202504,통영시,외지인방문자(b),1153985.0
202504,통영시,전체방문자(a+b),3424796.0
202504,통영시,현지인방문자(a),2270810.0
202505,통영시,외지인방문자(b),1539741.0
202505,통영시,전체방문자(a+b),3902700.0
202505,통영시,현지인방문자(a),2362958.0
