기준년월,기초지자체,방문자 구분,방문자 수
202406,용산구,외지인방문자(b),8591303.0
202406,용산구,전체방문자(a+b),1.3370382E7
202406,용산구,현지인방문자(a),4779078.0
202407,용산구,외지인방문자(b),8725101.0
202407,용산구,전체방문자(a+b),1.3594018E7
202407,용산구,현지인방문자(a),4868916.0
202408,용산구,외지인방문자(b),8797026.0
202408,용산구,전체방문자(a+b),1.3423788E7
202408,용산구,현지인방문자(a),4626762.0
202409,용산구,외지인방문자(b),8756052.0
202409,용산구,전체방문자(a+b),1.3286318E7
202409,용산구,현지인방문자(a),4530267.0
202410,용산구,외지인방문자(b),9607717.0
202410,용산구,전체방문자(a+b),1.4521328E7
202410,용산구,현지인방문자(a),4913612.0
202411,용산구,외지인방문자(b),8856130.0
202411,용산구,전체방문자(a+b),1.3524024E7
202411,용산구,현지인방문자(a),4667894.0
202412,용산구,외지인방문자(b),9070106.0
202412,용산구,전체방문자(a+b),1.3814342E7
202412,용산구,현지인방문자(a),4744236.0
202501,용산구,외지인방문자(b),8675240.0
202501,용산구,전체방문자(a+b),1.3166384E7
202501,용산구,현지인방문자(a),4491144.0
202502,용산구,외지인방문자(b),8450414.0
202502,용산구,전체방문자(a+b),1.2730956E7
202502,용산구,현지인방문자(a),4280542.0
202503,용산구,외지인방문자(b),9982640.0
202503,용산구,전체방문자(a+b),1.4727556E7
202503,용산구,현지인방문자(a),4744915.0
202504,용산구,외지인방문자(b),8889360.0
202504,용산구,전체방문자(a+b),1.3785884E7
202504,용산구,현지인방문자(a),4896524.0
202505,용산구,외지인방문자(b),1.0626242E7
202505,용산구,전체방문자(a+b),1.5619835E7
202505,용산구,현지인방문자(a),4993594.0
