순위,관광지명,광역시/도,시/군/구,중분류 카테고리,소분류 카테고리,검색건수,trip_no
1,수서역,서울특별시,강남구,기타관광,교통시설,"1,783,116",1
2,코엑스,서울특별시,강남구,문화관광,전시시설,"1,421,592",1
3,현대백화점무역센터점,서울특별시,강남구,쇼핑,백화점,"753,089",1
4,현대백화점압구정본점,서울특별시,강남구,쇼핑,백화점,"669,634",1
5,롯데백화점강남점,서울특별시,강남구,쇼핑,백화점,"315,523",1
6,갤러리아백화점명품관EAST,서울특별시,강남구,쇼핑,백화점,"270,511",1
7,갤러리아백화점명품관WEST,서울특별시,강남구,쇼핑,백화점,"216,784",1
8,SETEC,서울특별시,강남구,문화관광,전시시설,"215,515",1
9,봉은사,서울특별시,강남구,역사관광,종교성지,"179,563",1
10,코엑스아쿠아리움,서울특별시,강남구,문화관광,테마공원,"148,142",1
1,경복궁,서울특별시,종로구,역사관광,역사유적지,"295,560",2
2,동대문종합시장,서울특별시,종로구,쇼핑,시장,"270,532",2
3,팔각정북악스카이,서울특별시,종로구,문화관광,랜드마크관광,"217,503",2
4,광장시장,서울특별시,종로구,쇼핑,시장,"217,074",2
5,국립현대미술관서울관,서울특별시,종로구,문화관광,전시시설,"188,086",2
6,북악스카이웨이,서울특별시,종로구,기타관광,데이트코스,"153,977",2
7,광화문,서울특별시,종로구,역사관광,역사유적지,"106,901",2
8,조계사,서울특별시,종로구,역사관광,종교성지,"106,735",2
9,서울역사박물관,서울특별시,종로구,문화관광,전시시설,"78,018",2
10,낙산공원,서울특별시,종로구,문화관광,도시공원,"72,754",2
1,서울월드컵경기장,서울특별시,마포구,문화관광,레저스포츠시설,"336,808",3
2,망원한강공원,서울특별시,마포구,문화관광,도시공원,"228,377",3
3,망원시장,서울특별시,마포구,쇼핑,시장,"225,529",3
4,마포농수산물시장,서울특별시,마포구,쇼핑,시장,"159,368",3
5,하늘공원,서울특별시,마포구,문화관광,도시공원,"123,131",3
6,평화의공원,서울특별시,마포구,문화관광,도시공원,"110,864",3
7,난지한강공원,서울특별시,마포구,문화관광,도시공원,"110,651",3
8,KT&G상상마당홍대,서울특별시,마포구,문화관광,기타문화관광지,"88,472",3
9,AK플라자홍대,서울특별시,마포구,쇼핑,백화점,"79,136",3
10,메가박스상암월드컵경기장,서울특별시,마포구,문화관광,공연시설,"61,274",3
1,가락동농수산물도매시장,서울특별시,송파구,쇼핑,시장,"1,336,346",4
2,롯데월드몰,서울특별시,송파구,쇼핑,쇼핑몰,"929,691",4
3,롯데월드잠실점,서울특별시,송파구,문화관광,테마공원,"696,570",4
4,롯데백화점잠실점,서울특별시,송파구,쇼핑,백화점,"638,866",4
5,가든파이브라이프,서울특별시,송파구,쇼핑,쇼핑몰,"568,741",4
6,올림픽공원,서울특별시,송파구,문화관광,도시공원,"437,885",4
7,잠실야구장,서울특별시,송파구,문화관광,레저스포츠시설,"246,282",4
8,현대아울렛가든파이브점,서울특별시,송파구,쇼핑,쇼핑몰,"245,923",4
9,가든파이브툴,서울특별시,송파구,쇼핑,쇼핑몰,"216,174",4
10,롯데백화점에비뉴엘월드타워점,서울특별시,송파구,쇼핑,백화점,"182,560",4
1,롯데백화점본점,서울특별시,중구,쇼핑,백화점,"786,566",5
2,신세계백화점본점,서울특별시,중구,쇼핑,백화점,"596,455",5
3,신세계백화점본점신관,서울특별시,중구,쇼핑,백화점,"404,908",5
4,현대시티아울렛동대문점,서울특별시,중구,쇼핑,쇼핑몰,"393,094",5
5,두산타워,서울특별시,중구,쇼핑,쇼핑몰,"189,443",5
6,국립극장,서울특별시,중구,문화관광,공연시설,"176,184",5
7,밀리오레동대문점,서울특별시,중구,쇼핑,쇼핑몰,"155,401",5
8,방산종합시장,서울특별시,중구,쇼핑,시장,"116,696",5
9,충무아트센터,서울특별시,중구,문화관광,공연시설,"115,106",5
10,제일평화시장,서울특별시,중구,쇼핑,시장,"93,610",5
1,더현대서울,서울특별시,영등포구,쇼핑,백화점,"1,915,051",6
2,타임스퀘어,서울특별시,영등포구,쇼핑,쇼핑몰,"1,297,458",6
3,IFC몰,서울특별시,영등포구,쇼핑,쇼핑몰,"834,064",6
4,여의도한강공원,서울특별시,영등포구,문화관광,도시공원,"739,829",6
5,롯데백화점영등포점,서울특별시,영등포구,쇼핑,백화점,"347,513",6
6,신세계백화점타임스퀘어점,서울특별시,영등포구,쇼핑,백화점,"305,942",6
7,구여의도백화점,서울특별시,영등포구,쇼핑,쇼핑몰,"103,251",6
8,영등포역,서울특별시,영등포구,기타관광,교통시설,"97,625",6
9,CGV영등포,서울특별시,영등포구,문화관광,공연시설,"68,898",6
10,양화한강공원,서울특별시,영등포구,문화관광,도시공원,"68,444",6
1,서울역,서울특별시,용산구,기타관광,교통시설,"1,862,210",7
2,HDC아이파크몰용산점,서울특별시,용산구,쇼핑,백화점,"971,172",7
3,용산역,서울특별시,용산구,기타관광,교통시설,"812,634",7
4,국립중앙박물관,서울특별시,용산구,문화관광,전시시설,"471,810",7
5,CGV용산아이파크몰,서울특별시,용산구,문화관광,공연시설,"382,946",7
6,남산서울타워,서울특별시,용산구,문화관광,랜드마크관광,"301,896",7
7,전쟁기념관,서울특별시,용산구,문화관광,전시시설,"207,292",7
8,블루스퀘어,서울특별시,용산구,문화관광,공연시설,"156,042",7
9,노들섬,서울특별시,용산구,자연관광,자연경관(하천/해양),"116,498",7
