기준년월,기초지자체,방문자 구분,방문자 수
202406,수영구,외지인방문자(b),3015194.0
202406,수영구,전체방문자(a+b),5645003.0
202406,수영구,현지인방문자(a),2629809.0
202407,수영구,외지인방문자(b),3319228.0
202407,수영구,전체방문자(a+b),6010123.0
202407,수영구,현지인방문자(a),2690894.0
202408,수영구,외지인방문자(b),3594070.0
202408,수영구,전체방문자(a+b),6223970.0
202408,수영구,현지인방문자(a),2629900.0
202409,수영구,외지인방문자(b),3206304.0
202409,수영구,전체방문자(a+b),5780148.0
202409,수영구,현지인방문자(a),2573844.0
202410,수영구,외지인방문자(b),3148694.0
202410,수영구,전체방문자(a+b),6035082.0
202410,수영구,현지인방문자(a),2886387.0
202411,수영구,외지인방문자(b),3269830.0
202411,수영구,전체방문자(a+b),6100738.0
202411,수영구,현지인방문자(a),2830908.0
202412,수영구,외지인방문자(b),3290861.0
202412,수영구,전체방문자(a+b),6300066.0
202412,수영구,현지인방문자(a),3009206.0
202501,수영구,외지인방문자(b),3373601.0
202501,수영구,전체방문자(a+b),6222108.0
202501,수영구,현지인방문자(a),2848506.0
202502,수영구,외지인방문자(b),2884980.0
202502,수영구,전체방문자(a+b),5544805.0
202502,수영구,현지인방문자(a),2659825.0
202503,수영구,외지인방문자(b),3148170.0
202503,수영구,전체방문자(a+b),5996144.0
202503,수영구,현지인방문자(a),2847974.0
202504,수영구,외지인방문자(b),2907454.0
202504,수영구,전체방문자(a+b),5702694.0
202504,수영구,현지인방문자(a),2795240.0
202505,수영구,외지인방문자(b),3655295.0
202505,수영구,전체방문자(a+b),6589765.0
202505,수영구,현지인방문자(a),2934470.0
