기준년월,기초지자체,방문자 구분,방문자 수
202406,중구,외지인방문자(b),5330252.0
202406,중구,전체방문자(a+b),7640266.0
202406,중구,현지인방문자(a),2310014.0
202407,중구,외지인방문자(b),5574608.0
202407,중구,전체방문자(a+b),7992114.0
202407,중구,현지인방문자(a),2417506.0
202408,중구,외지인방문자(b),5238748.0
202408,중구,전체방문자(a+b),7543487.0
202408,중구,현지인방문자(a),2304740.0
202409,중구,외지인방문자(b),5420796.0
202409,중구,전체방문자(a+b),7756312.0
202409,중구,현지인방문자(a),2335515.0
202410,중구,외지인방문자(b),5554392.0
202410,중구,전체방문자(a+b),7988008.0
202410,중구,현지인방문자(a),2433616.0
202411,중구,외지인방문자(b),5450718.0
202411,중구,전체방문자(a+b),7841519.0
202411,중구,현지인방문자(a),2390801.0
202412,중구,외지인방문자(b),5866973.0
202412,중구,전체방문자(a+b),8344648.0
202412,중구,현지인방문자(a),2477674.0
202501,중구,외지인방문자(b),5609072.0
202501,중구,전체방문자(a+b),7977834.0
202501,중구,현지인방문자(a),2368762.0
202502,중구,외지인방문자(b),5115019.0
202502,중구,전체방문자(a+b),7381454.0
202502,중구,현지인방문자(a),2266436.0
202503,중구,외지인방문자(b),5833100.0
202503,중구,전체방문자(a+b),8300740.0
202503,중구,현지인방문자(a),2467640.0
202504,중구,외지인방문자(b),5253846.0
202504,중구,전체방문자(a+b),7718092.0
202504,중구,현지인방문자(a),2464245.0
202505,중구,외지인방문자(b),6171746.0
202505,중구,전체방문자(a+b),8773524.0
202505,중구,현지인방문자(a),2601778.0
