기준년월,기초지자체,방문자 구분,방문자 수
202406,강남구,외지인방문자(b),1.7919468E7
202406,강남구,전체방문자(a+b),3.3862756E7
202406,강남구,현지인방문자(a),1.5943288E7
202407,강남구,외지인방문자(b),1.9142851E7
202407,강남구,전체방문자(a+b),3.5914228E7
202407,강남구,현지인방문자(a),1.6771377E7
202408,강남구,외지인방문자(b),1.7949897E7
202408,강남구,전체방문자(a+b),3.379508E7
202408,강남구,현지인방문자(a),1.5845182E7
202409,강남구,외지인방문자(b),1.6899246E7
202409,강남구,전체방문자(a+b),3.230156E7
202409,강남구,현지인방문자(a),1.5402314E7
202410,강남구,외지인방문자(b),1.9155202E7
202410,강남구,전체방문자(a+b),3.5568855E7
202410,강남구,현지인방문자(a),1.6413652E7
202411,강남구,외지인방문자(b),1.8454628E7
202411,강남구,전체방문자(a+b),3.402531E7
202411,강남구,현지인방문자(a),1.5570681E7
202412,강남구,외지인방문자(b),1.899911E7
202412,강남구,전체방문자(a+b),3.5195489E7
202412,강남구,현지인방문자(a),1.619638E7
202501,강남구,외지인방문자(b),1.732772E7
202501,강남구,전체방문자(a+b),3.2742406E7
202501,강남구,현지인방문자(a),1.5414686E7
202502,강남구,외지인방문자(b),1.7788449E7
202502,강남구,전체방문자(a+b),3.2832146E7
202502,강남구,현지인방문자(a),1.5043696E7
202503,강남구,외지인방문자(b),1.9186622E7
202503,강남구,전체방문자(a+b),3.5471058E7
202503,강남구,현지인방문자(a),1.6284436E7
202504,강남구,외지인방문자(b),1.8179984E7
202504,강남구,전체방문자(a+b),3.4928302E7
202504,강남구,현지인방문자(a),1.6748319E7
202505,강남구,외지인방문자(b),1.9453777E7
202505,강남구,전체방문자(a+b),3.6063972E7
202505,강남구,현지인방문자(a),1.6610195E7
