기준년월,기초지자체,방문자 구분,방문자 수
202406,서구,외지인방문자(b),4137728.0
202406,서구,전체방문자(a+b),9101995.0
202406,서구,현지인방문자(a),4964267.0
202407,서구,외지인방문자(b),4296660.0
202407,서구,전체방문자(a+b),9458222.0
202407,서구,현지인방문자(a),5161562.0
202408,서구,외지인방문자(b),4206576.0
202408,서구,전체방문자(a+b),9166668.0
202408,서구,현지인방문자(a),4960092.0
202409,서구,외지인방문자(b),4509869.0
202409,서구,전체방문자(a+b),9466040.0
202409,서구,현지인방문자(a),4956172.0
202410,서구,외지인방문자(b),4645070.0
202410,서구,전체방문자(a+b),1.0210172E7
202410,서구,현지인방문자(a),5565102.0
202411,서구,외지인방문자(b),4580216.0
202411,서구,전체방문자(a+b),9986802.0
202411,서구,현지인방문자(a),5406586.0
202412,서구,외지인방문자(b),4720552.0
202412,서구,전체방문자(a+b),1.0254192E7
202412,서구,현지인방문자(a),5533640.0
202501,서구,외지인방문자(b),4604635.0
202501,서구,전체방문자(a+b),9921838.0
202501,서구,현지인방문자(a),5317204.0
202502,서구,외지인방문자(b),4068572.0
202502,서구,전체방문자(a+b),9067478.0
202502,서구,현지인방문자(a),4998906.0
202503,서구,외지인방문자(b),4832972.0
202503,서구,전체방문자(a+b),1.0309985E7
202503,서구,현지인방문자(a),5477014.0
202504,서구,외지인방문자(b),4332013.0
202504,서구,전체방문자(a+b),9835536.0
202504,서구,현지인방문자(a),5503522.0
202505,서구,외지인방문자(b),5068966.0
202505,서구,전체방문자(a+b),1.0731578E7
202505,서구,현지인방문자(a),5662612.0
