기준년월,기초지자체,방문자 구분,방문자 수
202406,대덕구,외지인방문자(b),2184326.0
202406,대덕구,전체방문자(a+b),4364276.0
202406,대덕구,현지인방문자(a),2179950.0
202407,대덕구,외지인방문자(b),2182516.0
202407,대덕구,전체방문자(a+b),4376533.0
202407,대덕구,현지인방문자(a),2194017.0
202408,대덕구,외지인방문자(b),2209778.0
202408,대덕구,전체방문자(a+b),4311346.0
202408,대덕구,현지인방문자(a),2101568.0
202409,대덕구,외지인방문자(b),2466142.0
202409,대덕구,전체방문자(a+b),4550052.0
202409,대덕구,현지인방문자(a),2083910.0
202410,대덕구,외지인방문자(b),2396478.0
202410,대덕구,전체방문자(a+b),4746063.0
202410,대덕구,현지인방문자(a),2349585.0
202411,대덕구,외지인방문자(b),2320384.0
202411,대덕구,전체방문자(a+b),4665577.0
202411,대덕구,현지인방문자(a),2345192.0
202412,대덕구,외지인방문자(b),2306524.0
202412,대덕구,전체방문자(a+b),4688716.0
202412,대덕구,현지인방문자(a),2382191.0
202501,대덕구,외지인방문자(b),2312065.0
202501,대덕구,전체방문자(a+b),4571882.0
202501,대덕구,현지인방문자(a),2259817.0
202502,대덕구,외지인방문자(b),2029223.0
202502,대덕구,전체방문자(a+b),4162319.0
202502,대덕구,현지인방문자(a),2133096.0
202503,대덕구,외지인방문자(b),2495318.0
202503,대덕구,전체방문자(a+b),4736676.0
202503,대덕구,현지인방문자(a),2241358.0
202504,대덕구,외지인방문자(b),2209235.0
202504,대덕구,전체방문자(a+b),4488561.0
202504,대덕구,현지인방문자(a),2279326.0
202505,대덕구,외지인방문자(b),2632598.0
202505,대덕구,전체방문자(a+b),5042905.0
202505,대덕구,현지인방문자(a),2410306.0
