기준년월,기초지자체,방문자 구분,방문자 수
202406,북구,외지인방문자(b),2043748.0
202406,북구,전체방문자(a+b),5542544.0
202406,북구,현지인방문자(a),3498796.0
202407,북구,외지인방문자(b),2079542.0
202407,북구,전체방문자(a+b),5614000.0
202407,북구,현지인방문자(a),3534458.0
202408,북구,외지인방문자(b),2122029.0
202408,북구,전체방문자(a+b),5613422.0
202408,북구,현지인방문자(a),3491394.0
202409,북구,외지인방문자(b),2052974.0
202409,북구,전체방문자(a+b),5443294.0
202409,북구,현지인방문자(a),3390320.0
202410,북구,외지인방문자(b),2047353.0
202410,북구,전체방문자(a+b),5643834.0
202410,북구,현지인방문자(a),3596481.0
202411,북구,외지인방문자(b),1967000.0
202411,북구,전체방문자(a+b),5510659.0
202411,북구,현지인방문자(a),3543659.0
202412,북구,외지인방문자(b),2105316.0
202412,북구,전체방문자(a+b),5828658.0
202412,북구,현지인방문자(a),3723342.0
202501,북구,외지인방문자(b),2168912.0
202501,북구,전체방문자(a+b),5650928.0
202501,북구,현지인방문자(a),3482017.0
202502,북구,외지인방문자(b),1876182.0
202502,북구,전체방문자(a+b),5189950.0
202502,북구,현지인방문자(a),3313768.0
202503,북구,외지인방문자(b),2082378.0
202503,북구,전체방문자(a+b),5587690.0
202503,북구,현지인방문자(a),3505313.0
202504,북구,외지인방문자(b),1918956.0
202504,북구,전체방문자(a+b),5502399.0
202504,북구,현지인방문자(a),3583444.0
202505,북구,외지인방문자(b),2339816.0
202505,북구,전체방문자(a+b),6043429.0
202505,북구,현지인방문자(a),3703612.0
