기준년월,기초지자체,방문자 구분,방문자 수
202406,마포구,외지인방문자(b),9920491.0
202406,마포구,전체방문자(a+b),1.7646604E7
202406,마포구,현지인방문자(a),7726114.0
202407,마포구,외지인방문자(b),9729604.0
202407,마포구,전체방문자(a+b),1.7497036E7
202407,마포구,현지인방문자(a),7767431.0
202408,마포구,외지인방문자(b),9893510.0
202408,마포구,전체방문자(a+b),1.7387174E7
202408,마포구,현지인방문자(a),7493664.0
202409,마포구,외지인방문자(b),1.0072853E7
202409,마포구,전체방문자(a+b),1.7365145E7
202409,마포구,현지인방문자(a),7292292.0
202410,마포구,외지인방문자(b),1.0882252E7
202410,마포구,전체방문자(a+b),1.880745E7
202410,마포구,현지인방문자(a),7925197.0
202411,마포구,외지인방문자(b),9935496.0
202411,마포구,전체방문자(a+b),1.7384636E7
202411,마포구,현지인방문자(a),7449141.0
202412,마포구,외지인방문자(b),9984590.0
202412,마포구,전체방문자(a+b),1.7582474E7
202412,마포구,현지인방문자(a),7597884.0
202501,마포구,외지인방문자(b),9116933.0
202501,마포구,전체방문자(a+b),1.6230795E7
202501,마포구,현지인방문자(a),7113862.0
202502,마포구,외지인방문자(b),9086598.0
202502,마포구,전체방문자(a+b),1.5827413E7
202502,마포구,현지인방문자(a),6740814.0
202503,마포구,외지인방문자(b),1.0711578E7
202503,마포구,전체방문자(a+b),1.8127442E7
202503,마포구,현지인방문자(a),7415863.0
202504,마포구,외지인방문자(b),9594620.0
202504,마포구,전체방문자(a+b),1.7127912E7
202504,마포구,현지인방문자(a),7533292.0
202505,마포구,외지인방문자(b),1.1146674E7
202505,마포구,전체방문자(a+b),1.8990724E7
202505,마포구,현지인방문자(a),7844050.0
