기준년월,기초지자체,방문자 구분,방문자 수
202406,안산시,외지인방문자(b),6338832.0
202406,안산시,전체방문자(a+b),1.5519266E7
202406,안산시,현지인방문자(a),9180434.0
202407,안산시,외지인방문자(b),6299944.0
202407,안산시,전체방문자(a+b),1.559865E7
202407,안산시,현지인방문자(a),9298706.0
202408,안산시,외지인방문자(b),6448236.0
202408,안산시,전체방문자(a+b),1.5456413E7
202408,안산시,현지인방문자(a),9008178.0
202409,안산시,외지인방문자(b),6870720.0
202409,안산시,전체방문자(a+b),1.5753812E7
202409,안산시,현지인방문자(a),8883091.0
202410,안산시,외지인방문자(b),6820212.0
202410,안산시,전체방문자(a+b),1.6439605E7
202410,안산시,현지인방문자(a),9619393.0
202411,안산시,외지인방문자(b),6278422.0
202411,안산시,전체방문자(a+b),1.5597554E7
202411,안산시,현지인방문자(a),9319132.0
202412,안산시,외지인방문자(b),6254591.0
202412,안산시,전체방문자(a+b),1.5726683E7
202412,안산시,현지인방문자(a),9472092.0
202501,안산시,외지인방문자(b),6220470.0
202501,안산시,전체방문자(a+b),1.5247564E7
202501,안산시,현지인방문자(a),9027095.0
202502,안산시,외지인방문자(b),5623310.0
202502,안산시,전체방문자(a+b),1.4069587E7
202502,안산시,현지인방문자(a),8446277.0
202503,안산시,외지인방문자(b),7065191.0
202503,안산시,전체방문자(a+b),1.6360578E7
202503,안산시,현지인방문자(a),9295388.0
202504,안산시,외지인방문자(b),6142588.0
202504,안산시,전체방문자(a+b),1.5443736E7
202504,안산시,현지인방문자(a),9301148.0
202505,안산시,외지인방문자(b),7277246.0
202505,안산시,전체방문자(a+b),1.71764E7
202505,안산시,현지인방문자(a),9899155.0
