기준년월,기초지자체,방문자 구분,방문자 수
202406,춘천시,외지인방문자(b),2544955.0
202406,춘천시,전체방문자(a+b),9701468.0
202406,춘천시,현지인방문자(a),7156513.0
202407,춘천시,외지인방문자(b),2389772.0
202407,춘천시,전체방문자(a+b),9565196.0
202407,춘천시,현지인방문자(a),7175424.0
202408,춘천시,외지인방문자(b),2808096.0
202408,춘천시,전체방문자(a+b),9852784.0
202408,춘천시,현지인방문자(a),7044688.0
202409,춘천시,외지인방문자(b),2774580.0
202409,춘천시,전체방문자(a+b),9667280.0
202409,춘천시,현지인방문자(a),6892700.0
202410,춘천시,외지인방문자(b),2652377.0
202410,춘천시,전체방문자(a+b),9917744.0
202410,춘천시,현지인방문자(a),7265366.0
202411,춘천시,외지인방문자(b),2400898.0
202411,춘천시,전체방문자(a+b),9631209.0
202411,춘천시,현지인방문자(a),7230310.0
202412,춘천시,외지인방문자(b),2072056.0
202412,춘천시,전체방문자(a+b),9339162.0
202412,춘천시,현지인방문자(a),7267106.0
202501,춘천시,외지인방문자(b),2362458.0
202501,춘천시,전체방문자(a+b),9101491.0
202501,춘천시,현지인방문자(a),6739033.0
202502,춘천시,외지인방문자(b),1944565.0
202502,춘천시,전체방문자(a+b),8249098.0
202502,춘천시,현지인방문자(a),6304532.0
202503,춘천시,외지인방문자(b),2717712.0
202503,춘천시,전체방문자(a+b),9784036.0
202503,춘천시,현지인방문자(a),7066325.0
202504,춘천시,외지인방문자(b),2179832.0
202504,춘천시,전체방문자(a+b),9091166.0
202504,춘천시,현지인방문자(a),6911334.0
202505,춘천시,외지인방문자(b),2925576.0
202505,춘천시,전체방문자(a+b),1.0432317E7
202505,춘천시,현지인방문자(a),7506740.0
