기준년월,기초지자체,방문자 구분,방문자 수
202406,원주시,외지인방문자(b),2836470.0
202406,원주시,전체방문자(a+b),1.0573748E7
202406,원주시,현지인방문자(a),7737278.0
202407,원주시,외지인방문자(b),2753905.0
202407,원주시,전체방문자(a+b),1.0574858E7
202407,원주시,현지인방문자(a),7820953.0
202408,원주시,외지인방문자(b),3143749.0
202408,원주시,전체방문자(a+b),1.0888164E7
202408,원주시,현지인방문자(a),7744415.0
202409,원주시,외지인방문자(b),3061611.0
202409,원주시,전체방문자(a+b),1.0596114E7
202409,원주시,현지인방문자(a),7534502.0
202410,원주시,외지인방문자(b),2965263.0
202410,원주시,전체방문자(a+b),1.0993602E7
202410,원주시,현지인방문자(a),8028338.0
202411,원주시,외지인방문자(b),2766435.0
202411,원주시,전체방문자(a+b),1.0678798E7
202411,원주시,현지인방문자(a),7912362.0
202412,원주시,외지인방문자(b),2420442.0
202412,원주시,전체방문자(a+b),1.0362894E7
202412,원주시,현지인방문자(a),7942452.0
202501,원주시,외지인방문자(b),2713389.0
202501,원주시,전체방문자(a+b),1.016609E7
202501,원주시,현지인방문자(a),7452700.0
202502,원주시,외지인방문자(b),2194346.0
202502,원주시,전체방문자(a+b),9197335.0
202502,원주시,현지인방문자(a),7002989.0
202503,원주시,외지인방문자(b),2932902.0
202503,원주시,전체방문자(a+b),1.0802978E7
202503,원주시,현지인방문자(a),7870076.0
202504,원주시,외지인방문자(b),2457868.0
202504,원주시,전체방문자(a+b),1.0162358E7
202504,원주시,현지인방문자(a),7704490.0
202505,원주시,외지인방문자(b),3250436.0
202505,원주시,전체방문자(a+b),1.1440667E7
202505,원주시,현지인방문자(a),8190231.0
