기준년월,기초지자체,방문자 구분,방문자 수
202406,제천시,외지인방문자(b),1324466.0
202406,제천시,전체방문자(a+b),3455176.0
202406,제천시,현지인방문자(a),2130709.0
202407,제천시,외지인방문자(b),1324634.0
202407,제천시,전체방문자(a+b),3426028.0
202407,제천시,현지인방문자(a),2101393.0
202408,제천시,외지인방문자(b),1660995.0
202408,제천시,전체방문자(a+b),3729348.0
202408,제천시,현지인방문자(a),2068353.0
202409,제천시,외지인방문자(b),1470840.0
202409,제천시,전체방문자(a+b),3516114.0
202409,제천시,현지인방문자(a),2045274.0
202410,제천시,외지인방문자(b),1449850.0
202410,제천시,전체방문자(a+b),3599225.0
202410,제천시,현지인방문자(a),2149374.0
202411,제천시,외지인방문자(b),1311429.0
202411,제천시,전체방문자(a+b),3428369.0
202411,제천시,현지인방문자(a),2116940.0
202412,제천시,외지인방문자(b),1012910.0
202412,제천시,전체방문자(a+b),3110594.0
202412,제천시,현지인방문자(a),2097683.0
202501,제천시,외지인방문자(b),1105660.0
202501,제천시,전체방문자(a+b),3043890.0
202501,제천시,현지인방문자(a),1938230.0
202502,제천시,외지인방문자(b),872672.0
202502,제천시,전체방문자(a+b),2686152.0
202502,제천시,현지인방문자(a),1813480.0
202503,제천시,외지인방문자(b),1207052.0
202503,제천시,전체방문자(a+b),3206584.0
202503,제천시,현지인방문자(a),1999532.0
202504,제천시,외지인방문자(b),1210216.0
202504,제천시,전체방문자(a+b),3224694.0
202504,제천시,현지인방문자(a),2014478.0
202505,제천시,외지인방문자(b),1507527.0
202505,제천시,전체방문자(a+b),3697424.0
202505,제천시,현지인방문자(a),2189898.0
