기준년월,기초지자체,방문자 구분,방문자 수
202406,서산시,외지인방문자(b),1506480.0
202406,서산시,전체방문자(a+b),4768670.0
202406,서산시,현지인방문자(a),3262189.0
202407,서산시,외지인방문자(b),1369984.0
202407,서산시,전체방문자(a+b),4674138.0
202407,서산시,현지인방문자(a),3304154.0
202408,서산시,외지인방문자(b),1513060.0
202408,서산시,전체방문자(a+b),4721374.0
202408,서산시,현지인방문자(a),3208314.0
202409,서산시,외지인방문자(b),1640440.0
202409,서산시,전체방문자(a+b),4775802.0
202409,서산시,현지인방문자(a),3135363.0
202410,서산시,외지인방문자(b),1602072.0
202410,서산시,전체방문자(a+b),4895698.0
202410,서산시,현지인방문자(a),3293626.0
202411,서산시,외지인방문자(b),1400931.0
202411,서산시,전체방문자(a+b),4553370.0
202411,서산시,현지인방문자(a),3152440.0
202412,서산시,외지인방문자(b),1269600.0
202412,서산시,전체방문자(a+b),4496590.0
202412,서산시,현지인방문자(a),3226990.0
202501,서산시,외지인방문자(b),1357926.0
202501,서산시,전체방문자(a+b),4371451.0
202501,서산시,현지인방문자(a),3013524.0
202502,서산시,외지인방문자(b),1164751.0
202502,서산시,전체방문자(a+b),4018116.0
202502,서산시,현지인방문자(a),2853364.0
202503,서산시,외지인방문자(b),1513368.0
202503,서산시,전체방문자(a+b),4595563.0
202503,서산시,현지인방문자(a),3082194.0
202504,서산시,외지인방문자(b),1684938.0
202504,서산시,전체방문자(a+b),4856117.0
202504,서산시,현지인방문자(a),3171178.0
202505,서산시,외지인방문자(b),1832159.0
202505,서산시,전체방문자(a+b),5181698.0
202505,서산시,현지인방문자(a),3349538.0
