기준년월,기초지자체,방문자 구분,방문자 수
202406,거제시,외지인방문자(b),1892684.0
202406,거제시,전체방문자(a+b),8800190.0
202406,거제시,현지인방문자(a),6907506.0
202407,거제시,외지인방문자(b),2017911.0
202407,거제시,전체방문자(a+b),9200642.0
202407,거제시,현지인방문자(a),7182732.0
202408,거제시,외지인방문자(b),2274720.0
202408,거제시,전체방문자(a+b),9152560.0
202408,거제시,현지인방문자(a),6877840.0
202409,거제시,외지인방문자(b),2039776.0
202409,거제시,전체방문자(a+b),8925920.0
202409,거제시,현지인방문자(a),6886145.0
202410,거제시,외지인방문자(b),1873120.0
202410,거제시,전체방문자(a+b),9015769.0
202410,거제시,현지인방문자(a),7142650.0
202411,거제시,외지인방문자(b),1733098.0
202411,거제시,전체방문자(a+b),8728335.0
202411,거제시,현지인방문자(a),6995236.0
202412,거제시,외지인방문자(b),1752709.0
202412,거제시,전체방문자(a+b),9023805.0
202412,거제시,현지인방문자(a),7271096.0
202501,거제시,외지인방문자(b),2047146.0
202501,거제시,전체방문자(a+b),8972446.0
202501,거제시,현지인방문자(a),6925300.0
202502,거제시,외지인방문자(b),1508584.0
202502,거제시,전체방문자(a+b),8022441.0
202502,거제시,현지인방문자(a),6513857.0
202503,거제시,외지인방문자(b),1853660.0
202503,거제시,전체방문자(a+b),9035383.0
202503,거제시,현지인방문자(a),7181724.0
202504,거제시,외지인방문자(b),1675964.0
202504,거제시,전체방문자(a+b),8746990.0
202504,거제시,현지인방문자(a),7071026.0
202505,거제시,외지인방문자(b),2232038.0
202505,거제시,전체방문자(a+b),9559574.0
202505,거제시,현지인방문자(a),7327537.0
