기준년월,기초지자체,방문자 구분,방문자 수
202406,강서구,외지인방문자(b),6813572.0
202406,강서구,전체방문자(a+b),1.4303566E7
202406,강서구,현지인방문자(a),7489993.0
202407,강서구,외지인방문자(b),6892896.0
202407,강서구,전체방문자(a+b),1.4501158E7
202407,강서구,현지인방문자(a),7608262.0
202408,강서구,외지인방문자(b),6855124.0
202408,강서구,전체방문자(a+b),1.4287122E7
202408,강서구,현지인방문자(a),7431998.0
202409,강서구,외지인방문자(b),6920344.0
202409,강서구,전체방문자(a+b),1.3970974E7
202409,강서구,현지인방문자(a),7050631.0
202410,강서구,외지인방문자(b),7230394.0
202410,강서구,전체방문자(a+b),1.499716E7
202410,강서구,현지인방문자(a),7766766.0
202411,강서구,외지인방문자(b),6794476.0
202411,강서구,전체방문자(a+b),1.4357024E7
202411,강서구,현지인방문자(a),7562548.0
202412,강서구,외지인방문자(b),7069587.0
202412,강서구,전체방문자(a+b),1.4574004E7
202412,강서구,현지인방문자(a),7504416.0
202501,강서구,외지인방문자(b),6770554.0
202501,강서구,전체방문자(a+b),1.3962092E7
202501,강서구,현지인방문자(a),7191538.0
202502,강서구,외지인방문자(b),6610530.0
202502,강서구,전체방문자(a+b),1.3675151E7
202502,강서구,현지인방문자(a),7064620.0
202503,강서구,외지인방문자(b),7629496.0
202503,강서구,전체방문자(a+b),1.5451202E7
202503,강서구,현지인방문자(a),7821706.0
202504,강서구,외지인방문자(b),6822221.0
202504,강서구,전체방문자(a+b),1.4866684E7
202504,강서구,현지인방문자(a),8044463.0
202505,강서구,외지인방문자(b),8395793.0
202505,강서구,전체방문자(a+b),1.6808544E7
202505,강서구,현지인방문자(a),8412750.0
