기준년월,기초지자체,방문자 구분,방문자 수
202406,영도구,외지인방문자(b),1523630.0
202406,영도구,전체방문자(a+b),3418544.0
202406,영도구,현지인방문자(a),1894914.0
202407,영도구,외지인방문자(b),1504895.0
202407,영도구,전체방문자(a+b),3409052.0
202407,영도구,현지인방문자(a),1904158.0
202408,영도구,외지인방문자(b),1622652.0
202408,영도구,전체방문자(a+b),3466012.0
202408,영도구,현지인방문자(a),1843359.0
202409,영도구,외지인방문자(b),1634157.0
202409,영도구,전체방문자(a+b),3459354.0
202409,영도구,현지인방문자(a),1825198.0
202410,영도구,외지인방문자(b),1506134.0
202410,영도구,전체방문자(a+b),3409570.0
202410,영도구,현지인방문자(a),1903436.0
202411,영도구,외지인방문자(b),1437874.0
202411,영도구,전체방문자(a+b),3334446.0
202411,영도구,현지인방문자(a),1896573.0
202412,영도구,외지인방문자(b),1543406.0
202412,영도구,전체방문자(a+b),3489374.0
202412,영도구,현지인방문자(a),1945968.0
202501,영도구,외지인방문자(b),1584202.0
202501,영도구,전체방문자(a+b),3397404.0
202501,영도구,현지인방문자(a),1813203.0
202502,영도구,외지인방문자(b),1311930.0
202502,영도구,전체방문자(a+b),3012538.0
202502,영도구,현지인방문자(a),1700608.0
202503,영도구,외지인방문자(b),1579728.0
202503,영도구,전체방문자(a+b),3410922.0
202503,영도구,현지인방문자(a),1831193.0
202504,영도구,외지인방문자(b),1349204.0
202504,영도구,전체방문자(a+b),3154442.0
202504,영도구,현지인방문자(a),1805237.0
202505,영도구,외지인방문자(b),1725724.0
202505,영도구,전체방문자(a+b),3666058.0
202505,영도구,현지인방문자(a),1940334.0
