기준년월,기초지자체,방문자 구분,방문자 수
202406,동래구,외지인방문자(b),3211061.0
202406,동래구,전체방문자(a+b),7151484.0
202406,동래구,현지인방문자(a),3940422.0
202407,동래구,외지인방문자(b),3294778.0
202407,동래구,전체방문자(a+b),7435932.0
202407,동래구,현지인방문자(a),4141154.0
202408,동래구,외지인방문자(b),3321234.0
202408,동래구,전체방문자(a+b),7370878.0
202408,동래구,현지인방문자(a),4049644.0
202409,동래구,외지인방문자(b),3442922.0
202409,동래구,전체방문자(a+b),7376579.0
202409,동래구,현지인방문자(a),3933657.0
202410,동래구,외지인방문자(b),3165186.0
202410,동래구,전체방문자(a+b),7270848.0
202410,동래구,현지인방문자(a),4105661.0
202411,동래구,외지인방문자(b),3147190.0
202411,동래구,전체방문자(a+b),7164944.0
202411,동래구,현지인방문자(a),4017755.0
202412,동래구,외지인방문자(b),3349220.0
202412,동래구,전체방문자(a+b),7645872.0
202412,동래구,현지인방문자(a),4296652.0
202501,동래구,외지인방문자(b),3497193.0
202501,동래구,전체방문자(a+b),7670159.0
202501,동래구,현지인방문자(a),4172966.0
202502,동래구,외지인방문자(b),3080623.0
202502,동래구,전체방문자(a+b),6968787.0
202502,동래구,현지인방문자(a),3888164.0
202503,동래구,외지인방문자(b),3642174.0
202503,동래구,전체방문자(a+b),7896833.0
202503,동래구,현지인방문자(a),4254660.0
202504,동래구,외지인방문자(b),3266515.0
202504,동래구,전체방문자(a+b),7452718.0
202504,동래구,현지인방문자(a),4186203.0
202505,동래구,외지인방문자(b),3871718.0
202505,동래구,전체방문자(a+b),8338652.0
202505,동래구,현지인방문자(a),4466934.0
