기준년월,기초지자체,방문자 구분,방문자 수
202406,달서구,외지인방문자(b),4442998.0
202406,달서구,전체방문자(a+b),1.3621832E7
202406,달서구,현지인방문자(a),9178834.0
202407,달서구,외지인방문자(b),4586236.0
202407,달서구,전체방문자(a+b),1.3865621E7
202407,달서구,현지인방문자(a),9279386.0
202408,달서구,외지인방문자(b),4291231.0
202408,달서구,전체방문자(a+b),1.3123834E7
202408,달서구,현지인방문자(a),8832604.0
202409,달서구,외지인방문자(b),5026672.0
202409,달서구,전체방문자(a+b),1.3904758E7
202409,달서구,현지인방문자(a),8878086.0
202410,달서구,외지인방문자(b),4537260.0
202410,달서구,전체방문자(a+b),1.3817884E7
202410,달서구,현지인방문자(a),9280624.0
202411,달서구,외지인방문자(b),4501637.0
202411,달서구,전체방문자(a+b),1.3638492E7
202411,달서구,현지인방문자(a),9136855.0
202412,달서구,외지인방문자(b),4590320.0
202412,달서구,전체방문자(a+b),1.3902448E7
202412,달서구,현지인방문자(a),9312128.0
202501,달서구,외지인방문자(b),4822836.0
202501,달서구,전체방문자(a+b),1.3705724E7
202501,달서구,현지인방문자(a),8882888.0
202502,달서구,외지인방문자(b),4054967.0
202502,달서구,전체방문자(a+b),1.2311492E7
202502,달서구,현지인방문자(a),8256524.0
202503,달서구,외지인방문자(b),5052544.0
202503,달서구,전체방문자(a+b),1.414791E7
202503,달서구,현지인방문자(a),9095366.0
202504,달서구,외지인방문자(b),4337347.0
202504,달서구,전체방문자(a+b),1.3326974E7
202504,달서구,현지인방문자(a),8989628.0
202505,달서구,외지인방문자(b),5231264.0
202505,달서구,전체방문자(a+b),1.466557E7
202505,달서구,현지인방문자(a),9434306.0
