기준년월,기초지자체,방문자 구분,방문자 수
202406,서구,외지인방문자(b),5095307.0
202406,서구,전체방문자(a+b),1.3298926E7
202406,서구,현지인방문자(a),8203618.0
202407,서구,외지인방문자(b),5222620.0
202407,서구,전체방문자(a+b),1.3499742E7
202407,서구,현지인방문자(a),8277122.0
202408,서구,외지인방문자(b),5272701.0
202408,서구,전체방문자(a+b),1.3281009E7
202408,서구,현지인방문자(a),8008308.0
202409,서구,외지인방문자(b),5326934.0
202409,서구,전체방문자(a+b),1.315341E7
202409,서구,현지인방문자(a),7826476.0
202410,서구,외지인방문자(b),5172422.0
202410,서구,전체방문자(a+b),1.3445512E7
202410,서구,현지인방문자(a),8273090.0
202411,서구,외지인방문자(b),5116643.0
202411,서구,전체방문자(a+b),1.3243909E7
202411,서구,현지인방문자(a),8127266.0
202412,서구,외지인방문자(b),5246252.0
202412,서구,전체방문자(a+b),1.3546001E7
202412,서구,현지인방문자(a),8299750.0
202501,서구,외지인방문자(b),5259692.0
202501,서구,전체방문자(a+b),1.314802E7
202501,서구,현지인방문자(a),7888328.0
202502,서구,외지인방문자(b),4800544.0
202502,서구,전체방문자(a+b),1.2166315E7
202502,서구,현지인방문자(a),7365771.0
202503,서구,외지인방문자(b),5648958.0
202503,서구,전체방문자(a+b),1.3503374E7
202503,서구,현지인방문자(a),7854416.0
202504,서구,외지인방문자(b),5006183.0
202504,서구,전체방문자(a+b),1.2836344E7
202504,서구,현지인방문자(a),7830162.0
202505,서구,외지인방문자(b),6042799.0
202505,서구,전체방문자(a+b),1.4340172E7
202505,서구,현지인방문자(a),8297373.0
