기준년월,기초지자체,방문자 구분,방문자 수
202406,동구,외지인방문자(b),1134308.0
202406,동구,전체방문자(a+b),3758202.0
202406,동구,현지인방문자(a),2623894.0
202407,동구,외지인방문자(b),1200616.0
202407,동구,전체방문자(a+b),3817303.0
202407,동구,현지인방문자(a),2616688.0
202408,동구,외지인방문자(b),1208396.0
202408,동구,전체방문자(a+b),3813425.0
202408,동구,현지인방문자(a),2605029.0
202409,동구,외지인방문자(b),1191085.0
202409,동구,전체방문자(a+b),3743778.0
202409,동구,현지인방문자(a),2552694.0
202410,동구,외지인방문자(b),1162592.0
202410,동구,전체방문자(a+b),3948382.0
202410,동구,현지인방문자(a),2785790.0
202411,동구,외지인방문자(b),1037764.0
202411,동구,전체방문자(a+b),3728574.0
202411,동구,현지인방문자(a),2690810.0
202412,동구,외지인방문자(b),1029672.0
202412,동구,전체방문자(a+b),3827660.0
202412,동구,현지인방문자(a),2797988.0
202501,동구,외지인방문자(b),1103378.0
202501,동구,전체방문자(a+b),3726478.0
202501,동구,현지인방문자(a),2623100.0
202502,동구,외지인방문자(b),970448.0
202502,동구,전체방문자(a+b),3467975.0
202502,동구,현지인방문자(a),2497526.0
202503,동구,외지인방문자(b),1130493.0
202503,동구,전체방문자(a+b),3803331.0
202503,동구,현지인방문자(a),2672838.0
202504,동구,외지인방문자(b),1052908.0
202504,동구,전체방문자(a+b),3763032.0
202504,동구,현지인방문자(a),2710124.0
202505,동구,외지인방문자(b),1273195.0
202505,동구,전체방문자(a+b),4108153.0
202505,동구,현지인방문자(a),2834958.0
